oh	UH	oh
that	WDT	that
’s	VBZ	be
really	RB	really
sad	JJ	sad
,	,	,
we	PP	we
’ve	VBP	have
always	RB	always
had	VBN	have
stockings	NNS	stocking
.	SENT	.
We	PP	we
still	RB	still
get	VBP	get
them	PP	them
from	IN	from
our	PP$	our
parents	NNS	parent
now	RB	now
,	,	,
but	CC	but
it	PP	it
’s	VBZ	be
kind	NN	kind
of	IN	of
changed	VBN	change
as	IN	as
we	PP	we
’ve	VBP	have
got	VBN	get
older	JJR	old
.	SENT	.
When	WRB	when
we	PP	we
were	VBD	be
little	JJ	little
we	PP	we
used	VBD	use
to	TO	to
leave	VB	leave
out	RP	out
biscuits	NNS	biscuit
and	CC	and
a	DT	a
carrot	NN	carrot
and	CC	and
brandy	NN	brandy
for	IN	for
Santa	NP	Santa
,	,	,
and	CC	and
then	RB	then
my	PP$	my
parents	NNS	parent
would	MD	would
come	VB	come
into	IN	into
our	PP$	our
rooms	NNS	room
in	IN	in
the	DT	the
night	NN	night
and	CC	and
fill	VB	fill
our	PP$	our
stockings	NNS	stocking
while	IN	while
we	PP	we
were	VBD	be
asleep	JJ	asleep
.	SENT	.
Now	RB	now
we	PP	we
just	RB	just
give	VBP	give
the	DT	the
biscuits	NNS	biscuit
and	CC	and
stuff	NN	stuff
straight	JJ	straight
to	TO	to
Mum	NP	Mum
and	CC	and
Dad	NP	Dad
,	,	,
like	IN	like
,	,	,
“	``	"
here	RB	here
you	PP	you
go	VBP	go
,	,	,
”	''	"
and	CC	and
we	PP	we
take	VBP	take
our	PP$	our
stockings	NNS	stocking
into	IN	into
their	PP$	their
room	NN	room
and	CC	and
leave	VB	leave
them	PP	them
there	RB	there
for	IN	for
them	PP	them
to	TO	to
fill	VB	fill
overnight	RB	overnight
.	SENT	.
It	PP	it
’s	VBZ	be
more	JJR	more
of	IN	of
a	DT	a
joke	NN	joke
now	RB	now
really	RB	really
.	SENT	.
And	CC	and
it	PP	it
’s	VBZ	be
never	RB	never
big	JJ	big
presents	NNS	present
,	,	,
it	PP	it
’s	VBZ	be
just	RB	just
little	JJ	little
practical	JJ	practical
things	NNS	thing
in	IN	in
there	RB	there
,	,	,
like	IN	like
underwear	NN	underwear
and	CC	and
pyjamas	NN	pyjamas
and	CC	and
that	DT	that
sort	NN	sort
of	IN	of
stuff	NN	stuff
.	SENT	.
