People	NNS	people
are	VBP	be
always	RB	always
like	JJ	like
,	,	,
“	``	"
oh	UH	oh
but	CC	but
he	PP	he
’s	VBZ	be
so	RB	so
nice	JJ	nice
to	TO	to
you	PP	you
,	,	,
he	PP	he
’s	VBZ	be
so	RB	so
respectful	JJ	respectful
,	,	,
he	PP	he
’s	VBZ	be
so	RB	so
friendly	JJ	friendly
,	,	,
”	''	"
and	CC	and
I	PP	I
’m	NN	<unknown>
like	IN	like
,	,	,
yeah	RB	yeah
,	,	,
but	CC	but
that	DT	that
’s	VBZ	be
only	RB	only
because	IN	because
he	PP	he
’s	VBZ	be
never	RB	never
wanted	VBN	want
to	TO	to
have	VB	have
sex	NN	sex
with	IN	with
me	PP	me
.	SENT	.
He	PP	he
’s	VBZ	be
never	RB	never
tried	VBN	try
anything	NN	anything
,	,	,
never	RB	never
been	VBN	be
involved	VBN	involve
with	IN	with
me	PP	me
like	VBP	like
that	IN	that
at	IN	at
all	DT	all
.	SENT	.
That	DT	that
’s	VBZ	be
literally	RB	literally
the	DT	the
only	JJ	only
reason	NN	reason
he	PP	he
can	MD	can
manage	VB	manage
to	TO	to
behave	VB	behave
like	IN	like
a	DT	a
decent	JJ	decent
human	NN	human
being	VBG	be
around	IN	around
me	PP	me
.	SENT	.
The	DT	the
second	NN	second
he	PP	he
actually	RB	actually
fancies	VBZ	fancy
someone	NN	someone
,	,	,
it	PP	it
all	RB	all
changes	VBZ	change
and	CC	and
he	PP	he
just	RB	just
treats	VBZ	treat
them	PP	them
badly	RB	badly
.	SENT	.
It	PP	it
’s	VBZ	be
not	RB	not
that	IN	that
he	PP	he
’s	VBZ	be
secretly	RB	secretly
lovely	JJ	lovely
or	CC	or
misunderstood	JJ	misunderstood
,	,	,
it	PP	it
’s	VBZ	be
just	RB	just
that	IN	that
he	PP	he
’s	VBZ	be
never	RB	never
seen	VBN	see
me	PP	me
in	IN	in
that	DT	that
way	NN	way
,	,	,
so	RB	so
he	PP	he
’s	VBZ	be
not	RB	not
being	VBG	be
a	DT	a
dick	NN	dick
to	TO	to
me	PP	me
.	SENT	.
