Higher	JJR	high
education	NN	education
institutions	NNS	institution
would	MD	would
actually	RB	actually
want	VB	want
to	TO	to
buy	VB	buy
these	DT	these
real-life	JJ	real-life
moving	VBG	move
image	NN	image
case	NN	case
studies	NNS	study
because	IN	because
their	PP$	their
own	JJ	own
online	JJ	online
content	NN	content
just	RB	just
ca	MD	ca
n’t	RB	n't
keep	VB	keep
up	RP	up
with	IN	with
that	DT	that
kind	NN	kind
of	IN	of
dynamic	JJ	dynamic
narrative	NN	narrative
and	CC	and
storytelling	NN	storytelling
.	SENT	.
What	WP	what
we	PP	we
’re	VBP	be
talking	VBG	talk
about	RB	about
is	VBZ	be
something	NN	something
that	WDT	that
’s	VBZ	be
almost	RB	almost
as	RB	as
engaging	JJ	engaging
as	IN	as
a	DT	a
film	NN	film
,	,	,
but	CC	but
better	RBR	well
,	,	,
because	IN	because
it	PP	it
’s	VBZ	be
genuinely	RB	genuinely
real	JJ	real
.	SENT	.
It	PP	it
is	VBZ	be
n’t	RB	n't
pre-scripted	JJ	<unknown>
in	IN	in
the	DT	the
way	NN	way
documentaries	NNS	documentary
are	VBP	be
,	,	,
even	RB	even
when	WRB	when
they	PP	they
pretend	VBP	pretend
to	TO	to
be	VB	be
“	``	"
real	JJ	real
life	NN	life
”	''	"
.	SENT	.
Think	VB	think
of	IN	of
someone	NN	someone
like	IN	like
Louis	NP	Louis
Theroux	NP	Theroux
–	:	-
it	PP	it
’s	VBZ	be
sold	VBN	sell
as	IN	as
real	JJ	real
,	,	,
but	CC	but
there	EX	there
’s	VBZ	be
a	DT	a
preconceived	VBN	preconceive
narrative	NN	narrative
,	,	,
there	EX	there
’s	VBZ	be
a	DT	a
structure	NN	structure
written	VBN	write
in	IN	in
advance	NN	advance
,	,	,
and	CC	and
everything	NN	everything
that	WDT	that
happens	VBZ	happen
gets	VBZ	get
folded	VBN	fold
back	RB	back
into	IN	into
that	DT	that
storyline	NN	storyline
.	SENT	.
That	DT	that
’s	VBZ	be
exactly	RB	exactly
what	WP	what
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
.	SENT	.
These	DT	these
case	NN	case
studies	NNS	study
are	VBP	be
grounded	VBN	ground
in	IN	in
an	DT	an
actual	JJ	actual
situation	NN	situation
and	CC	and
develop	VB	develop
as	IN	as
they	PP	they
go	VBP	go
,	,	,
rather	RB	rather
than	IN	than
being	VBG	be
forced	VBN	force
to	TO	to
fit	VB	fit
a	DT	a
script	NN	script
.	SENT	.
That	DT	that
’s	VBZ	be
why	WRB	why
they	PP	they
’re	VBP	be
valuable	JJ	valuable
:	:	:
they	PP	they
’re	VBP	be
real	JJ	real
,	,	,
responsive	JJ	responsive
,	,	,
and	CC	and
educational	JJ	educational
,	,	,
not	RB	not
just	RB	just
entertainment	NN	entertainment
dressed	VBN	dress
up	RP	up
as	IN	as
reality	NN	reality
.	SENT	.
