When	WRB	when
I	PP	I
was	VBD	be
about	IN	about
twelve	NN	twelve
,	,	,
it	PP	it
was	VBD	be
just	RB	just
at	IN	at
the	DT	the
time	NN	time
of	IN	of
the	DT	the
invasion	NN	invasion
,	,	,
and	CC	and
I	PP	I
was	VBD	be
in	IN	in
this	DT	this
tiny	JJ	tiny
little	JJ	little
ballet	NN	ballet
school	NN	school
.	SENT	.
We	PP	we
had	VBD	have
a	DT	a
little	JJ	little
troupe	NN	troupe
,	,	,
and	CC	and
we	PP	we
were	VBD	be
sent	VBN	send
out	RP	out
to	TO	to
perform	VB	perform
for	IN	for
the	DT	the
troops	NNS	troop
,	,	,
mostly	RB	mostly
the	DT	the
Marines	NPS	Marines
down	RB	down
in	IN	in
Portsmouth	NP	Portsmouth
.	SENT	.
Looking	VBG	look
back	RB	back
,	,	,
it	PP	it
does	VBZ	do
make	VB	make
me	PP	me
laugh	VB	laugh
rather	RB	rather
grimly	RB	grimly
,	,	,
because	IN	because
these	DT	these
poor	JJ	poor
chaps	NNS	chap
,	,	,
many	JJ	many
of	IN	of
them	PP	them
doomed	VBD	doom
really	RB	really
,	,	,
and	CC	and
instead	RB	instead
of	IN	of
having	VBG	have
some	DT	some
glamorous	JJ	glamorous
ladies	NNS	lady
in	IN	in
sequins	NNS	sequin
turning	VBG	turn
up	RP	up
to	TO	to
cheer	VB	cheer
them	PP	them
,	,	,
they	PP	they
got	VBD	get
a	DT	a
bunch	NN	bunch
of	IN	of
ten-	NN	<unknown>
and	CC	and
twelve-year-olds	NNS	<unknown>
in	IN	in
little	JJ	little
ballet	NN	ballet
frocks	NNS	frock
pirouetting	VBG	pirouette
about	RB	about
.	SENT	.
I	PP	I
remember	VBP	remember
it	PP	it
all	RB	all
so	RB	so
clearly	RB	clearly
because	IN	because
my	PP$	my
mother	NN	mother
was	VBD	be
absolutely	RB	absolutely
furious	JJ	furious
with	IN	with
me	PP	me
afterwards	RB	afterwards
.	SENT	.
I	PP	I
’d	VBD	have
managed	VBN	manage
to	TO	to
lose	VB	lose
one	CD	one
of	IN	of
my	PP$	my
brand	NN	brand
new	JJ	new
white	JJ	white
stage	NN	stage
socks	NNS	sock
somewhere	RB	somewhere
along	IN	along
the	DT	the
way	NN	way
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
in	IN	in
those	DT	those
days	NNS	day
with	IN	with
the	DT	the
coupons	NNS	coupon
and	CC	and
all	PDT	all
that	DT	that
,	,	,
a	DT	a
pair	NN	pair
of	IN	of
proper	JJ	proper
white	JJ	white
socks	NNS	sock
was	VBD	be
quite	RB	quite
a	DT	a
thing	NN	thing
.	SENT	.
She	PP	she
did	VBD	do
n’t	RB	n't
see	VB	see
the	DT	the
funny	JJ	funny
side	NN	side
at	IN	at
all	DT	all
;	:	;
she	PP	she
was	VBD	be
livid	JJ	livid
about	IN	about
the	DT	the
waste	NN	waste
of	IN	of
the	DT	the
coupons	NNS	coupon
.	SENT	.
