No	UH	no
,	,	,
it	PP	it
is	VBZ	be
much	RB	much
worse	JJR	bad
,	,	,
legally	RB	legally
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
working	VBG	work
on	IN	on
Big	JJ	big
Brother	NN	brother
we	PP	we
were	VBD	be
only	RB	only
allowed	VBN	allow
to	TO	to
give	VB	give
them	PP	them
a	DT	a
really	RB	really
limited	JJ	limited
amount	NN	amount
of	IN	of
alcohol	NN	alcohol
,	,	,
so	RB	so
they	PP	they
never	RB	never
got	VBD	get
as	RB	as
drunk	JJ	drunk
as	IN	as
they	PP	they
look	VBP	look
on	IN	on
screen	NN	screen
.	SENT	.
There	EX	there
are	VBP	be
really	RB	really
clear	JJ	clear
rules	NNS	rule
about	IN	about
how	WRB	how
much	JJ	much
you	PP	you
can	MD	can
provide	VB	provide
,	,	,
so	RB	so
you	PP	you
just	RB	just
ca	MD	ca
n’t	RB	n't
keep	VB	keep
topping	VBG	top
them	PP	them
up	RP	up
even	RB	even
if	IN	if
you	PP	you
wanted	VBD	want
to	TO	to
.	SENT	.
With	IN	with
Geordie	NP	Geordie
Shore	NP	Shore
it	PP	it
feels	VBZ	feel
like	IN	like
they	PP	they
can	MD	can
drink	VB	drink
as	RB	as
much	RB	much
as	IN	as
they	PP	they
want	VBP	want
because	IN	because
technically	RB	technically
the	DT	the
show	NN	show
is	VBZ	be
n’t	RB	n't
giving	VBG	give
it	PP	it
to	TO	to
them	PP	them
,	,	,
which	WDT	which
I	PP	I
honestly	RB	honestly
doubt	VBP	doubt
is	VBZ	be
ever	RB	ever
really	RB	really
the	DT	the
case	NN	case
.	SENT	.
