My	PP$	my
phone	NN	phone
’s	POS	's
internet	NN	Internet
is	VBZ	be
rubbish	JJ	rubbish
really	RB	really
,	,	,
it	PP	it
’s	VBZ	be
one	CD	one
of	IN	of
those	DT	those
early	JJ	early
Samsungs	NNS	<unknown>
where	WRB	where
they	PP	they
’ve	VBP	have
sort	NN	sort
of	IN	of
tacked	VBD	tack
the	DT	the
internet	NN	Internet
on	IN	on
as	IN	as
an	DT	an
afterthought	NN	afterthought
.	SENT	.
It	PP	it
’s	VBZ	be
like	IN	like
they	PP	they
were	VBD	be
trying	VBG	try
to	TO	to
copy	VB	copy
what	WP	what
other	JJ	other
companies	NNS	company
were	VBD	be
doing	VBG	do
but	CC	but
not	RB	not
quite	RB	quite
managing	VBG	manage
it	PP	it
properly	RB	properly
,	,	,
so	RB	so
everything	NN	everything
feels	VBZ	feel
a	DT	a
bit	NN	bit
clunky	NN	clunky
and	CC	and
half‑baked	JJ	<unknown>
.	SENT	.
I	PP	I
was	VBD	be
talking	VBG	talk
to	TO	to
him	PP	him
about	IN	about
it	PP	it
,	,	,
and	CC	and
we	PP	we
ended	VBD	end
up	RP	up
chatting	VBG	chat
about	RB	about
how	WRB	how
he	PP	he
works	VBZ	work
with	IN	with
the	DT	the
younger	JJR	young
Saturday	NP	Saturday
staff	NN	staff
.	SENT	.
They	PP	they
’ve	VBP	have
only	RB	only
ever	RB	ever
known	VBN	know
DVDs	NP	<unknown>
,	,	,
so	RB	so
when	WRB	when
he	PP	he
said	VBD	say
he	PP	he
remembers	VBZ	remember
when	WRB	when
DVDs	NP	<unknown>
first	RB	first
came	VBD	come
out	RP	out
,	,	,
they	PP	they
were	VBD	be
just	RB	just
completely	RB	completely
shocked	VBN	shock
,	,	,
like	IN	like
it	PP	it
was	VBD	be
ancient	JJ	ancient
history	NN	history
or	CC	or
something	NN	something
.	SENT	.
