oh	UH	oh
now	RB	now
honestly	RB	honestly
it	PP	it
was	VBD	be
completely	RB	completely
his	PP$	his
fault	NN	fault
.	SENT	.
He	PP	he
’d	VBD	have
tied	VBN	tie
this	DT	this
great	JJ	great
lump	NN	lump
of	IN	of
a	DT	a
dog	NN	dog
to	TO	to
one	CD	one
of	IN	of
those	DT	those
silly	JJ	silly
little	JJ	little
outdoor	JJ	outdoor
tables	NNS	table
,	,	,
on	IN	on
a	DT	a
windy	JJ	windy
day	NN	day
of	IN	of
all	DT	all
days	NNS	day
.	SENT	.
Anyway	RB	anyway
,	,	,
a	DT	a
chair	NN	chair
went	VBD	go
over	RP	over
,	,	,
scared	VBD	scare
the	DT	the
life	NN	life
out	RP	out
of	IN	of
him	PP	him
and	CC	and
he	PP	he
just	RB	just
bolted	VBD	bolt
.	SENT	.
Off	IN	off
he	PP	he
went	VBD	go
,	,	,
dragging	VBG	drag
the	DT	the
table	NN	table
behind	IN	behind
him	PP	him
,	,	,
straight	RB	straight
through	IN	through
this	DT	this
tiny	JJ	tiny
gap	NN	gap
in	IN	in
the	DT	the
seating	NN	seating
area	NN	area
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
know	VB	know
how	WRB	how
he	PP	he
managed	VBD	manage
it	PP	it
without	IN	without
taking	VBG	take
half	PDT	half
the	DT	the
café	NN	café
with	IN	with
him	PP	him
.	SENT	.
Then	RB	then
he	PP	he
shot	VBD	shoot
across	IN	across
the	DT	the
high	JJ	high
street	NN	street
,	,	,
table	NN	table
still	RB	still
rattling	VBG	rattle
along	RP	along
,	,	,
and	CC	and
by	IN	by
some	DT	some
miracle	NN	miracle
he	PP	he
did	VBD	do
n’t	RB	n't
hit	VB	hit
anyone	NN	anyone
.	SENT	.
He	PP	he
finally	RB	finally
stopped	VBD	stop
when	WRB	when
the	DT	the
table	NN	table
went	VBD	go
smack	RB	smack
into	IN	into
the	DT	the
Body	NP	Body
Care	NP	Care
shop	NN	shop
window	NN	window
and	CC	and
smashed	VBD	smash
it	PP	it
.	SENT	.
