well	RB	well
I	PP	I
was	VBD	be
meant	VBN	mean
to	TO	to
be	VB	be
going	VBG	go
out	RP	out
on	IN	on
Saturday	NP	Saturday
,	,	,
and	CC	and
I	PP	I
was	VBD	be
just	RB	just
here	RB	here
on	IN	on
my	PP$	my
own	JJ	own
,	,	,
and	CC	and
I	PP	I
started	VBD	start
thinking	VBG	think
about	IN	about
it	PP	it
all	RB	all
–	:	-
getting	VBG	get
ready	JJ	ready
,	,	,
putting	VBG	put
on	IN	on
this	DT	this
costume	NN	costume
,	,	,
going	VBG	go
to	TO	to
a	DT	a
club	NN	club
,	,	,
all	PDT	all
these	DT	these
people	NNS	people
I	PP	I
did	VBD	do
n’t	RB	n't
know	VB	know
.	SENT	.
I	PP	I
just	RB	just
had	VBD	have
this	DT	this
picture	NN	picture
of	IN	of
everyone	NN	everyone
staring	VBG	stare
at	IN	at
me	PP	me
,	,	,
and	CC	and
feeling	VBG	feel
like	IN	like
they	PP	they
’d	MD	will
expect	VB	expect
me	PP	me
to	TO	to
chat	VB	chat
and	CC	and
be	VB	be
all	RB	all
sociable	JJ	sociable
,	,	,
and	CC	and
it	PP	it
just	RB	just
started	VBD	start
to	TO	to
wind	VB	wind
me	PP	me
up	RP	up
more	JJR	more
and	CC	and
more	JJR	more
.	SENT	.
It	PP	it
sort	VBP	sort
of	IN	of
escalated	VBN	escalate
really	RB	really
quickly	RB	quickly
.	SENT	.
I	PP	I
suddenly	RB	suddenly
felt	VBD	feel
like	IN	like
I	PP	I
could	MD	could
n’t	RB	n't
breathe	VB	breathe
properly	RB	properly
,	,	,
like	IN	like
my	PP$	my
chest	NN	chest
was	VBD	be
tight	JJ	tight
,	,	,
and	CC	and
I	PP	I
felt	VBD	feel
really	RB	really
sick	JJ	sick
.	SENT	.
I	PP	I
ended	VBD	end
up	RP	up
crying	VBG	cry
,	,	,
just	RB	just
walking	VBG	walk
around	RP	around
the	DT	the
room	NN	room
thinking	VBG	think
over	RP	over
and	CC	and
over	RP	over
,	,	,
“	``	"
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
go	VB	go
,	,	,
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
go	VB	go
.	SENT	.
”	''	"
The	DT	the
more	RBR	more
I	PP	I
thought	VBD	think
about	IN	about
having	VBG	have
to	TO	to
be	VB	be
in	IN	in
that	DT	that
club	NN	club
with	IN	with
all	PDT	all
those	DT	those
unfamiliar	JJ	unfamiliar
faces	NNS	face
,	,	,
the	DT	the
worse	JJR	bad
it	PP	it
got	VBD	get
.	SENT	.
I	PP	I
knew	VBD	know
it	PP	it
was	VBD	be
a	DT	a
panic	NN	panic
attack	NN	attack
,	,	,
and	CC	and
it	PP	it
was	VBD	be
horrible	JJ	horrible
being	NN	being
in	IN	in
the	DT	the
house	NN	house
on	IN	on
my	PP$	my
own	JJ	own
with	IN	with
it	PP	it
,	,	,
not	RB	not
really	RB	really
able	JJ	able
to	TO	to
catch	VB	catch
my	PP$	my
breath	NN	breath
and	CC	and
just	RB	just
stuck	VBN	stick
in	IN	in
that	DT	that
loop	NN	loop
of	IN	of
not	RB	not
wanting	VBG	want
to	TO	to
go	VB	go
and	CC	and
feeling	VBG	feel
worse	JJR	bad
and	CC	and
worse	JJR	bad
.	SENT	.
