any	DT	any
reflection	NN	reflection
on	IN	on
us	PP	us
I	PP	I
said	VBD	say
it	PP	it
’s	VBZ	be
not	RB	not
that	IN	that
I	PP	I
ca	MD	ca
n’t	RB	n't
do	VB	do
it	PP	it
,	,	,
I	PP	I
could	MD	could
do	VB	do
that	DT	that
toilet	NN	toilet
myself	PP	myself
,	,	,
but	CC	but
I	PP	I
says	VBZ	say
to	TO	to
her	PP	her
,	,	,
look	VB	look
,	,	,
if	IN	if
I	PP	I
get	VBP	get
down	RB	down
there	RB	there
and	CC	and
it	PP	it
all	RB	all
goes	VBZ	go
wrong	JJ	wrong
,	,	,
I	PP	I
’ve	VBP	have
no	DT	no
toilet	NN	toilet
,	,	,
have	VBP	have
I	PP	I
,	,	,
and	CC	and
at	IN	at
my	PP$	my
age	NN	age
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
be	VB	be
messing	VBG	mess
about	RB	about
like	IN	like
that	IN	that
,	,	,
so	IN	so
we	PP	we
’ll	RB	<unknown>
get	VBP	get
a	DT	a
plumber	NN	plumber
in	IN	in
and	CC	and
pay	VB	pay
him	PP	him
,	,	,
that	WDT	that
’s	VBZ	be
what	WP	what
they	PP	they
’re	VBP	be
there	RB	there
for	IN	for
.	SENT	.
And	CC	and
I	PP	I
says	VBZ	say
to	TO	to
her	PP	her
,	,	,
while	IN	while
we	PP	we
’re	VBP	be
on	IN	on
about	IN	about
jobs	NNS	job
,	,	,
have	VBP	have
a	DT	a
look	NN	look
over	IN	over
there	RB	there
,	,	,
all	PDT	all
that	DT	that
stuff	NN	stuff
coming	VBG	come
over	RP	over
from	IN	from
next	JJ	next
door	NN	door
’s	POS	's
garden	NN	garden
,	,	,
I	PP	I
can	MD	can
cut	VB	cut
some	DT	some
of	IN	of
it	PP	it
back	RB	back
,	,	,
little	JJ	little
bits	NNS	bit
,	,	,
but	CC	but
that	DT	that
big	JJ	big
conifer	NN	conifer
,	,	,
I	PP	I
says	VBZ	say
,	,	,
I	PP	I
’m	NN	<unknown>
not	RB	not
going	VBG	go
up	RP	up
there	RB	there
,	,	,
and	CC	and
I	PP	I
do	VBP	do
n’t	RB	n't
think	VB	think
he	PP	he
can	MD	can
manage	VB	manage
it	PP	it
either	RB	either
.	SENT	.
So	RB	so
I	PP	I
says	VBZ	say
,	,	,
best	JJS	good
thing	NN	thing
is	VBZ	be
we	PP	we
get	VBP	get
somebody	NN	somebody
in	IN	in
to	TO	to
do	VB	do
it	PP	it
proper	JJ	proper
.	SENT	.
Then	RB	then
he	PP	he
turns	VBZ	turn
round	NN	round
and	CC	and
says	VBZ	say
to	TO	to
me	PP	me
,	,	,
do	VB	do
you	PP	you
know	VB	know
anybody	NN	anybody
who	WP	who
could	MD	could
do	VB	do
it	PP	it
,	,	,
and	CC	and
I	PP	I
says	VBZ	say
,	,	,
well	RB	well
you	PP	you
already	RB	already
have	VBP	have
that	DT	that
bloke	NN	bloke
comes	VBZ	come
to	TO	to
cut	VB	cut
your	PP$	your
hedge	NN	hedge
,	,	,
do	VBP	do
n’t	RB	n't
you	PP	you
,	,	,
ask	VB	ask
him	PP	him
.	SENT	.
