oh	UH	oh
my	PP$	my
god	NN	god
you	PP	you
’ve	VBP	have
bought	VBN	buy
a	DT	a
house	NN	house
?	SENT	?
that	DT	that
’s	VBZ	be
amazing	JJ	amazing
,	,	,
good	JJ	good
luck	NN	luck
with	IN	with
it	PP	it
all	RB	all
,	,	,
it	PP	it
must	MD	must
be	VB	be
so	RB	so
stressful	JJ	stressful
sorting	VBG	sort
everything	NN	everything
out	RP	out
.	SENT	.
I	PP	I
’m	NN	<unknown>
all	DT	all
right	NN	right
,	,	,
yeah	RB	yeah
,	,	,
just	RB	just
glad	JJ	glad
to	TO	to
be	VB	be
back	RB	back
really	RB	really
–	:	-
I	PP	I
’ll	RB	<unknown>
explain	VBP	explain
everything	NN	everything
properly	RB	properly
when	WRB	when
we	PP	we
see	VBP	see
each	DT	each
other	JJ	other
.	SENT	.
it	PP	it
’s	VBZ	be
mad	JJ	mad
though	RB	though
,	,	,
those	DT	those
two	CD	two
years	NNS	year
have	VBP	have
gone	VBN	go
so	RB	so
quickly	RB	quickly
.	SENT	.
I	PP	I
’m	NN	<unknown>
twenty-eight	NN	twenty-eight
now	RB	now
,	,	,
getting	VBG	get
old	JJ	old
,	,	,
are	VBP	be
n’t	RB	n't
I	PP	I
?	SENT	?
how	WRB	how
old	JJ	old
are	VBP	be
you	PP	you
now	RB	now
,	,	,
twenty-seven	JJ	<unknown>
?	SENT	?
your	PP$	your
birthday	NN	birthday
was	VBD	be
in	IN	in
August	NP	August
,	,	,
was	VBD	be
n’t	RB	n't
it	PP	it
?	SENT	?
I	PP	I
’m	NN	<unknown>
really	RB	really
sorry	RB	sorry
I	PP	I
missed	VBD	miss
it	PP	it
.	SENT	.
did	VBD	do
you	PP	you
have	VBP	have
a	DT	a
good	JJ	good
time	NN	time
,	,	,
what	WP	what
did	VBD	do
you	PP	you
get	VBP	get
?	SENT	?
I	PP	I
’m	NN	<unknown>
really	RB	really
looking	VBG	look
forward	RB	forward
to	TO	to
seeing	VBG	see
you	PP	you
properly	RB	properly
,	,	,
in	IN	in
person	NN	person
,	,	,
and	CC	and
catching	VBG	catch
up	RP	up
.	SENT	.
