Most	JJS	most
of	IN	of
the	DT	the
customers	NNS	customer
who	WP	who
already	RB	already
knew	VBD	know
us	PP	us
just	RB	just
refused	VBD	refuse
to	TO	to
go	VB	go
in	IN	in
there	RB	there
,	,	,
they	PP	they
said	VBD	say
it	PP	it
was	VBD	be
absolutely	RB	absolutely
disgusting	JJ	disgusting
,	,	,
so	IN	so
that	WDT	that
did	VBD	do
n’t	RB	n't
help	VB	help
them	PP	them
at	IN	at
all	DT	all
.	SENT	.
On	IN	on
top	NN	top
of	IN	of
that	DT	that
,	,	,
they	PP	they
could	MD	could
n’t	RB	n't
get	VB	get
any	DT	any
of	IN	of
the	DT	the
proper	JJ	proper
supplier	NN	supplier
accounts	NNS	account
set	VBN	set
up	RP	up
,	,	,
because	IN	because
we	PP	we
already	RB	already
had	VBD	have
those	DT	those
with	IN	with
the	DT	the
companies	NNS	company
.	SENT	.
So	RB	so
they	PP	they
were	VBD	be
ringing	VBG	ring
round	NN	round
trying	VBG	try
to	TO	to
open	VB	open
accounts	NNS	account
,	,	,
and	CC	and
the	DT	the
companies	NNS	company
were	VBD	be
basically	RB	basically
saying	VBG	say
,	,	,
“	``	"
Well	UH	well
,	,	,
you	PP	you
’re	VBP	be
two	CD	two
doors	NNS	door
away	RB	away
from	IN	from
Lakeside	NP	Lakeside
Interiors	NNS	interior
and	CC	and
they	PP	they
’re	VBP	be
long-standing	JJ	long-standing
clients	NNS	client
of	IN	of
ours	PP	ours
,	,	,
”	''	"
and	CC	and
refusing	VBG	refuse
them	PP	them
.	SENT	.
