When	WRB	when
I	PP	I
came	VBD	come
over	RP	over
from	IN	from
New	NP	New
Zealand	NP	Zealand
to	TO	to
England	NP	England
,	,	,
the	DT	the
whole	JJ	whole
land	NN	land
surveying	VBG	survey
thing	NN	thing
just	RB	just
did	VBD	do
n’t	RB	n't
translate	VB	translate
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
.	SENT	.
Back	RB	back
home	NN	home
–	:	-
and	CC	and
in	IN	in
Australia	NP	Australia
–	:	-
“	``	"
surveyor	NN	surveyor
”	''	"
means	VBZ	mean
something	NN	something
quite	RB	quite
specific	JJ	specific
and	CC	and
quite	RB	quite
important	JJ	important
:	:	:
you	PP	you
’re	VBP	be
setting	VBG	set
out	RP	out
land	NN	land
,	,	,
you	PP	you
’re	VBP	be
involved	VBN	involve
in	IN	in
exploration	NN	exploration
,	,	,
you	PP	you
’re	VBP	be
doing	VBG	do
all	PDT	all
that	DT	that
core	JJ	core
spatial	JJ	spatial
and	CC	and
engineering	NN	engineering
work	NN	work
.	SENT	.
It	PP	it
’s	VBZ	be
a	DT	a
very	RB	very
defined	VBN	define
professional	JJ	professional
role	NN	role
.	SENT	.
Here	RB	here
,	,	,
“	``	"
surveyor	NN	surveyor
”	''	"
seemed	VBN	seem
to	TO	to
be	VB	be
this	DT	this
catch‑all	NN	<unknown>
term	NN	term
.	SENT	.
You	PP	you
’ve	VBP	have
got	VBN	get
building	NN	building
surveyors	NNS	surveyor
,	,	,
land	NN	land
surveyors	NNS	surveyor
,	,	,
electrical	JJ	electrical
surveyors	NNS	surveyor
,	,	,
insurance	NN	insurance
surveyors	NNS	surveyor
,	,	,
people	NNS	people
who	WP	who
are	VBP	be
basically	RB	basically
plumbers	NNS	plumber
or	CC	or
doing	VBG	do
inspections	NNS	inspection
being	VBG	be
called	VBN	call
surveyors	NNS	surveyor
.	SENT	.
It	PP	it
’s	VBZ	be
spread	VBN	spread
across	IN	across
all	DT	all
sorts	NNS	sort
of	IN	of
trades	NNS	trade
and	CC	and
professions	NNS	profession
.	SENT	.
So	IN	so
the	DT	the
job	NN	job
I	PP	I
’d	VBD	have
been	VBN	be
trained	VBN	train
for	IN	for
,	,	,
and	CC	and
the	DT	the
context	NN	context
I	PP	I
understood	VBD	understand
,	,	,
just	RB	just
did	VBD	do
n’t	RB	n't
really	RB	really
exist	VB	exist
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
what	WP	what
we	PP	we
’d	VBD	have
been	VBN	be
trained	VBN	train
in	IN	in
back	NN	back
in	IN	in
New	NP	New
Zealand	NP	Zealand
simply	RB	simply
did	VBD	do
n’t	RB	n't
apply	VB	apply
here	RB	here
in	IN	in
the	DT	the
UK	NP	UK
context	NN	context
,	,	,
or	CC	or
at	IN	at
least	JJS	least
not	RB	not
in	IN	in
the	DT	the
form	NN	form
I	PP	I
knew	VBD	know
.	SENT	.
