what	WP	what
I	PP	I
was	VBD	be
thinking	VBG	think
was	VBD	be
something	NN	something
a	DT	a
bit	NN	bit
like	IN	like
hangman	NN	hangman
for	IN	for
the	DT	the
memory	NN	memory
verse	NN	verse
.	SENT	.
So	RB	so
you	PP	you
’d	MD	will
have	VB	have
all	PDT	all
the	DT	the
blanks	NNS	blank
written	VBN	write
out	RP	out
on	IN	on
a	DT	a
sheet	NN	sheet
that	IN	that
only	RB	only
the	DT	the
leaders	NNS	leader
can	MD	can
see	VB	see
.	SENT	.
Then	RB	then
the	DT	the
teams	NNS	team
have	VBP	have
to	TO	to
go	VB	go
off	RP	off
and	CC	and
do	VB	do
some	DT	some
sort	NN	sort
of	IN	of
task	NN	task
or	CC	or
challenge	VB	challenge
first	JJ	first
–	:	-
once	RB	once
they	PP	they
’ve	VBP	have
done	VBN	do
that	IN	that
,	,	,
they	PP	they
can	MD	can
come	VB	come
up	RP	up
to	TO	to
a	DT	a
table	NN	table
and	CC	and
ask	VB	ask
for	IN	for
a	DT	a
letter	NN	letter
.	SENT	.
A	DT	a
leader	NN	leader
would	MD	would
then	RB	then
fill	VB	fill
that	DT	that
letter	NN	letter
into	IN	into
the	DT	the
right	JJ	right
spaces	NNS	space
on	IN	on
the	DT	the
separate	JJ	separate
sheet	NN	sheet
.	SENT	.
After	IN	after
that	IN	that
they	PP	they
’d	MD	will
have	VB	have
to	TO	to
go	VB	go
back	RB	back
to	TO	to
their	PP$	their
home	NN	home
base	NN	base
before	IN	before
they	PP	they
can	MD	can
do	VB	do
the	DT	the
next	JJ	next
task	NN	task
and	CC	and
come	VB	come
back	RB	back
for	IN	for
another	DT	another
letter	NN	letter
,	,	,
and	CC	and
so	RB	so
on	RB	on
,	,	,
until	IN	until
they	PP	they
’ve	VBP	have
worked	VBN	work
out	RP	out
the	DT	the
whole	JJ	whole
verse	NN	verse
.	SENT	.
We	PP	we
’d	MD	will
have	VB	have
to	TO	to
make	VB	make
sure	RB	sure
the	DT	the
teams	NNS	team
ca	MD	ca
n’t	RB	n't
see	VB	see
each	DT	each
other	JJ	other
’s	POS	's
answers	NNS	answer
though	RB	though
,	,	,
so	RB	so
they	PP	they
’re	VBP	be
not	RB	not
just	RB	just
copying	VBG	copy
.	SENT	.
