there	EX	there
’s	VBZ	be
this	DT	this
book	NN	book
I	PP	I
read	VBP	read
that	IN	that
really	RB	really
stuck	VBN	stick
with	IN	with
me	PP	me
,	,	,
it	PP	it
’s	VBZ	be
a	DT	a
young	JJ	young
adult	NN	adult
novel	NN	novel
about	IN	about
this	DT	this
girl	NN	girl
,	,	,
she	PP	she
’s	VBZ	be
absolutely	RB	absolutely
gorgeous	JJ	gorgeous
but	CC	but
you	PP	you
do	VBP	do
n’t	RB	n't
really	RB	really
like	VB	like
her	PP	her
as	IN	as
a	DT	a
character	NN	character
,	,	,
she	PP	she
’s	VBZ	be
quite	RB	quite
unsympathetic	JJ	unsympathetic
.	SENT	.
she	PP	she
goes	VBZ	go
to	TO	to
this	DT	this
party	NN	party
and	CC	and
ends	VBZ	end
up	RP	up
being	VBG	be
gang	NN	gang
raped	VBN	rape
by	IN	by
a	DT	a
group	NN	group
of	IN	of
local	JJ	local
footballers	NNS	footballer
,	,	,
and	CC	and
then	RB	then
they	PP	they
share	VBP	share
the	DT	the
pictures	NNS	picture
of	IN	of
her	PP$	her
online	JJ	online
afterwards	RB	afterwards
.	SENT	.
the	DT	the
whole	JJ	whole
story	NN	story
is	VBZ	be
basically	RB	basically
about	RB	about
what	WP	what
happens	VBZ	happen
next	RB	next
–	:	-
all	PDT	all
the	DT	the
fallout	NN	fallout
around	IN	around
consent	NN	consent
and	CC	and
how	WRB	how
people	NNS	people
react	VBP	react
when	WRB	when
things	NNS	thing
get	VBP	get
spread	NN	spread
on	IN	on
social	JJ	social
media	NNS	medium
,	,	,
and	CC	and
how	WRB	how
she	PP	she
’s	VBZ	be
treated	VBN	treat
because	RB	because
of	IN	of
how	WRB	how
she	PP	she
looks	VBZ	look
and	CC	and
behaves	VBZ	behave
,	,	,
even	RB	even
though	IN	though
what	WP	what
happened	VBD	happen
to	TO	to
her	PP	her
is	VBZ	be
obviously	RB	obviously
rape	NN	rape
.	SENT	.
it	PP	it
really	RB	really
digs	VBZ	dig
into	IN	into
those	DT	those
grey	JJ	grey
areas	NNS	area
people	NNS	people
pretend	VBP	pretend
are	VBP	be
grey	JJ	grey
,	,	,
when	WRB	when
they	PP	they
’re	VBP	be
actually	RB	actually
not	RB	not
,	,	,
and	CC	and
how	WRB	how
social	JJ	social
media	NNS	medium
just	RB	just
amplifies	VBZ	amplify
everything	NN	everything
and	CC	and
makes	VBZ	make
it	PP	it
harder	JJR	hard
for	IN	for
her	PP	her
.	SENT	.
I	PP	I
honestly	RB	honestly
think	VBP	think
books	NNS	book
like	IN	like
that	WDT	that
should	MD	should
be	VB	be
recommended	VBN	recommend
to	TO	to
young	JJ	young
people	NNS	people
,	,	,
and	CC	and
especially	RB	especially
to	TO	to
young	JJ	young
men	NNS	man
,	,	,
because	IN	because
it	PP	it
really	RB	really
forces	VBZ	force
you	PP	you
to	TO	to
think	VB	think
about	IN	about
consent	NN	consent
and	CC	and
consequences	NNS	consequence
.	SENT	.
