Well	RB	well
,	,	,
once	RB	once
I	PP	I
decided	VBD	decide
to	TO	to
take	VB	take
the	DT	the
early	JJ	early
retirement	NN	retirement
,	,	,
the	DT	the
good	JJ	good
thing	NN	thing
was	VBD	be
I	PP	I
could	MD	could
cut	VB	cut
my	PP$	my
hours	NNS	hour
right	RB	right
down	RB	down
but	CC	but
still	RB	still
get	VB	get
the	DT	the
same	JJ	same
money	NN	money
,	,	,
which	WDT	which
suited	VBD	suit
me	PP	me
very	RB	very
nicely	RB	nicely
.	SENT	.
I	PP	I
timed	VBD	time
it	PP	it
just	RB	just
before	IN	before
they	PP	they
changed	VBD	change
all	PDT	all
the	DT	the
rules	NNS	rule
about	IN	about
retirement	NN	retirement
age	NN	age
and	CC	and
what	WP	what
you	PP	you
could	MD	could
get	VB	get
,	,	,
so	RB	so
I	PP	I
was	VBD	be
quite	RB	quite
lucky	JJ	lucky
in	IN	in
that	DT	that
sense	NN	sense
.	SENT	.
I	PP	I
remember	VBP	remember
thinking	VBG	think
I	PP	I
’d	VBD	have
spent	VBN	spend
more	JJR	more
time	NN	time
in	IN	in
that	DT	that
place	NN	place
than	IN	than
I	PP	I
had	VBD	have
at	IN	at
home	NN	home
over	IN	over
the	DT	the
years	NNS	year
,	,	,
twenty‑five	JJ	<unknown>
years	NNS	year
of	IN	of
my	PP$	my
life	NN	life
,	,	,
but	CC	but
oddly	RB	oddly
enough	RB	enough
,	,	,
when	WRB	when
I	PP	I
actually	RB	actually
walked	VBD	walk
away	RB	away
,	,	,
I	PP	I
felt	VBD	feel
nothing	NN	nothing
at	IN	at
all	DT	all
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
strange	JJ	strange
,	,	,
really	RB	really
.	SENT	.
You	PP	you
’d	MD	will
think	VB	think
I	PP	I
’d	MD	will
be	VB	be
in	IN	in
bits	NNS	bit
,	,	,
but	CC	but
I	PP	I
was	VBD	be
n’t	RB	n't
.	SENT	.
Funny	JJ	funny
thing	NN	thing
is	VBZ	be
,	,	,
later	RBR	later
on	RB	on
when	WRB	when
I	PP	I
left	VBD	leave
the	DT	the
other	JJ	other
job	NN	job
–	:	-
the	DT	the
more	JJR	more
relaxed	VBN	relax
one	CD	one
–	:	-
I	PP	I
felt	VBD	feel
much	RB	much
more	RBR	more
emotional	JJ	emotional
about	IN	about
that	DT	that
.	SENT	.
It	PP	it
started	VBD	start
off	RP	off
very	RB	very
easygoing	JJ	easygoing
there	RB	there
,	,	,
and	CC	and
then	RB	then
bit	NN	bit
by	IN	by
bit	NN	bit
they	PP	they
pulled	VBD	pull
me	PP	me
into	IN	into
doing	VBG	do
more	JJR	more
and	CC	and
more	JJR	more
hours	NNS	hour
,	,	,
so	RB	so
it	PP	it
crept	VBD	creep
up	RP	up
on	IN	on
me	PP	me
.	SENT	.
Still	RB	still
,	,	,
it	PP	it
had	VBD	have
a	DT	a
nicer	JJR	nice
feel	NN	feel
to	TO	to
it	PP	it
somehow	RB	somehow
,	,	,
so	RB	so
when	WRB	when
I	PP	I
left	VBD	leave
that	DT	that
place	NN	place
I	PP	I
really	RB	really
did	VBD	do
feel	VB	feel
it	PP	it
,	,	,
more	JJR	more
than	IN	than
I	PP	I
ever	RB	ever
did	VBD	do
after	IN	after
those	DT	those
twenty‑five	JJ	<unknown>
years	NNS	year
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
was	VBD	be
that	DT	that
other	JJ	other
place	NN	place
I	PP	I
went	VBD	go
to	TO	to
for	IN	for
a	DT	a
year	NN	year
–	:	-
I	PP	I
was	VBD	be
really	RB	really
unhappy	JJ	unhappy
there	RB	there
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
very	RB	very
weird	JJ	weird
year	NN	year
.	SENT	.
I	PP	I
just	RB	just
did	VBD	do
n’t	RB	n't
settle	VB	settle
,	,	,
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
showed	VBD	show
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
women	NNS	woman
I	PP	I
worked	VBD	work
with	IN	with
said	VBN	say
something	NN	something
about	IN	about
how	WRB	how
fed	VBN	feed
up	IN	up
I	PP	I
was	VBD	be
,	,	,
and	CC	and
it	PP	it
got	VBD	get
back	RB	back
to	TO	to
my	PP$	my
old	JJ	old
boss	NN	boss
.	SENT	.
Next	JJ	next
thing	NN	thing
I	PP	I
knew	VBD	know
,	,	,
he	PP	he
was	VBD	be
on	IN	on
the	DT	the
phone	NN	phone
trying	VBG	try
to	TO	to
poach	VB	poach
me	PP	me
back	RB	back
.	SENT	.
That	IN	that
made	VBN	make
me	PP	me
laugh	VB	laugh
a	DT	a
bit	NN	bit
,	,	,
because	IN	because
I	PP	I
’d	VBD	have
only	RB	only
been	VBN	be
gone	VBN	go
a	DT	a
short	JJ	short
while	NN	while
and	CC	and
already	RB	already
they	PP	they
were	VBD	be
trying	VBG	try
to	TO	to
reel	VB	reel
me	PP	me
in	IN	in
again	RB	again
.	SENT	.
