No	UH	no
,	,	,
you	PP	you
wo	MD	wo
n’t	RB	n't
have	VB	have
to	TO	to
do	VB	do
the	DT	the
big	JJ	big
rope	NN	rope
climbing	VBG	climb
like	IN	like
the	DT	the
adults	NNS	adult
.	SENT	.
The	DT	the
children	NNS	child
’s	POS	's
bit	NN	bit
is	VBZ	be
a	DT	a
much	RB	much
easier	JJR	easy
,	,	,
fun	NN	fun
version	NN	version
,	,	,
so	RB	so
it	PP	it
should	MD	should
just	RB	just
be	VB	be
really	RB	really
good	JJ	good
fun	NN	fun
for	IN	for
you	PP	you
.	SENT	.
I	PP	I
think	VBP	think
you	PP	you
might	MD	might
get	VB	get
a	DT	a
little	JJ	little
medal	NN	medal
or	CC	or
a	DT	a
certificate	NN	certificate
or	CC	or
something	NN	something
at	IN	at
the	DT	the
end	NN	end
as	IN	as
well	RB	well
.	SENT	.
We	PP	we
will	MD	will
probably	RB	probably
be	VB	be
quite	RB	quite
tired	JJ	tired
because	IN	because
it	PP	it
’s	VBZ	be
the	DT	the
day	NN	day
after	IN	after
,	,	,
but	CC	but
it	PP	it
’s	VBZ	be
around	IN	around
midday	NN	midday
,	,	,
so	IN	so
that	WDT	that
’s	VBZ	be
not	RB	not
too	RB	too
bad	JJ	bad
.	SENT	.
You	PP	you
’ll	RB	<unknown>
need	VBP	need
to	TO	to
be	VB	be
really	RB	really
well-behaved	JJ	well-behaved
and	CC	and
wait	VB	wait
with	IN	with
someone	NN	someone
while	IN	while
I	PP	I
do	VBP	do
the	DT	the
main	JJ	main
race	NN	race
,	,	,
and	CC	and
then	RB	then
you	PP	you
can	MD	can
do	VB	do
the	DT	the
junior	JJ	junior
race	NN	race
afterwards	RB	afterwards
.	SENT	.
