there	EX	there
was	VBD	be
this	DT	this
thing	NN	thing
online	JJ	online
the	DT	the
other	JJ	other
day	NN	day
about	IN	about
supermarkets	NNS	supermarket
and	CC	and
people	NNS	people
taking	VBG	take
stuff	NN	stuff
back	RB	back
,	,	,
and	CC	and
it	PP	it
absolutely	RB	absolutely
blew	VBD	blow
up	RP	up
on	IN	on
social	JJ	social
media	NNS	medium
.	SENT	.
This	DT	this
bloke	NN	bloke
had	VBD	have
gone	VBN	go
to	TO	to
Aldi	NP	<unknown>
–	:	-
or	CC	or
it	PP	it
might	MD	might
’ve	VB	have
been	VBN	be
Lidl	NP	<unknown>
,	,	,
I	NP	I
’m	NN	<unknown>
not	RB	not
entirely	RB	entirely
sure	JJ	sure
which	WDT	which
–	:	-
and	CC	and
bought	VBD	buy
himself	PP	himself
a	DT	a
packet	NN	packet
of	IN	of
chocolate	NN	chocolate
biscuits	NNS	biscuit
.	SENT	.
When	WRB	when
he	PP	he
opened	VBD	open
them	PP	them
,	,	,
he	PP	he
discovered	VBD	discover
that	IN	that
one	CD	one
of	IN	of
the	DT	the
biscuits	NNS	biscuit
did	VBD	do
n’t	RB	n't
have	VB	have
any	DT	any
chocolate	NN	chocolate
on	IN	on
it	PP	it
at	IN	at
all	DT	all
,	,	,
and	CC	and
he	PP	he
was	VBD	be
absolutely	RB	absolutely
devastated	VBN	devastate
.	SENT	.
He	PP	he
put	VBD	put
this	DT	this
post	NN	post
up	RB	up
,	,	,
going	VBG	go
on	IN	on
about	RB	about
how	WRB	how
this	DT	this
one	CD	one
plain	JJ	plain
biscuit	NN	biscuit
had	VBD	have
completely	RB	completely
ruined	VBN	ruin
his	PP$	his
Sunday	NP	Sunday
morning	NN	morning
.	SENT	.
