oh	UH	oh
my	PP$	my
other	JJ	other
half	NN	half
would	MD	would
absolutely	RB	absolutely
love	VB	love
that	IN	that
,	,	,
the	DT	the
whole	JJ	whole
free	JJ	free
tapas	NNS	tapa
with	IN	with
your	PP$	your
drinks	NNS	drink
thing	NN	thing
in	IN	in
Granada	NP	Granada
,	,	,
that	WDT	that
’s	VBZ	be
just	RB	just
perfect	JJ	perfect
for	IN	for
him	PP	him
.	SENT	.
My	PP$	my
dad	NN	dad
was	VBD	be
the	DT	the
same	JJ	same
,	,	,
he	PP	he
thought	VBD	think
it	PP	it
was	VBD	be
brilliant	JJ	brilliant
.	SENT	.
He	PP	he
got	VBD	get
really	RB	really
into	IN	into
it	PP	it
,	,	,
so	RB	so
much	RB	much
so	RB	so
that	IN	that
he	PP	he
actually	RB	actually
phoned	VBD	phone
me	PP	me
up	RP	up
to	TO	to
ask	VB	ask
how	WRB	how
to	TO	to
say	VB	say
different	JJ	different
things	NNS	thing
in	IN	in
the	DT	the
language	NN	language
there	RB	there
.	SENT	.
He	PP	he
’s	VBZ	be
the	DT	the
sort	NN	sort
who	WP	who
’ll	RB	<unknown>
just	RB	just
go	VB	go
off	RP	off
on	IN	on
his	PP$	his
own	JJ	own
,	,	,
travel	VB	travel
somewhere	RB	somewhere
and	CC	and
have	VB	have
a	DT	a
go	NN	go
at	IN	at
speaking	VBG	speak
the	DT	the
language	NN	language
.	SENT	.
I	PP	I
remember	VBP	remember
ringing	VBG	ring
him	PP	him
once	RB	once
after	IN	after
uni	NN	uni
and	CC	and
he	PP	he
was	VBD	be
at	IN	at
the	DT	the
hairdresser	NN	hairdresser
’s	POS	's
.	SENT	.
