yes	UH	yes
,	,	,
I	PP	I
spent	VBD	spend
years	NNS	year
with	IN	with
this	DT	this
odd	JJ	odd
little	JJ	little
mystery	NN	mystery
in	IN	in
the	DT	the
back	NN	back
of	IN	of
my	PP$	my
mind	NN	mind
,	,	,
this	DT	this
children	NNS	child
’s	POS	's
book	NN	book
I	PP	I
remembered	VBD	remember
very	RB	very
clearly	RB	clearly
by	IN	by
name	NN	name
,	,	,
and	CC	and
also	RB	also
that	IN	that
I	PP	I
’d	VBD	have
never	RB	never
got	VBN	get
beyond	IN	beyond
a	DT	a
certain	JJ	certain
page	NN	page
because	IN	because
it	PP	it
had	VBD	have
frightened	VBN	frighten
me	PP	me
so	RB	so
much	RB	much
.	SENT	.
Eventually	RB	eventually
,	,	,
with	IN	with
all	PDT	all
this	DT	this
business	NN	business
of	IN	of
online	JJ	online
and	CC	and
second‑hand	JJ	<unknown>
bookshops	NNS	bookshop
,	,	,
I	PP	I
tracked	VBD	track
it	PP	it
down	RP	down
and	CC	and
ordered	VBD	order
a	DT	a
copy	NN	copy
from	IN	from
a	DT	a
shop	NN	shop
.	SENT	.
What	WP	what
arrived	VBD	arrive
was	VBD	be
this	DT	this
rather	RB	rather
decrepit	JJ	decrepit
wartime	NN	wartime
hardback	NN	hardback
,	,	,
on	IN	on
that	DT	that
horrible	JJ	horrible
thin	JJ	thin
,	,	,
browned	VBN	brown
paper	NN	paper
,	,	,
the	DT	the
print	NN	print
all	RB	all
faded	VBN	fade
.	SENT	.
I	PP	I
sat	VBD	sit
down	RP	down
and	CC	and
read	VB	read
it	PP	it
through	IN	through
again	RB	again
,	,	,
and	CC	and
I	PP	I
simply	RB	simply
could	MD	could
n’t	RB	n't
work	VB	work
out	IN	out
which	WDT	which
bit	NN	bit
had	VBD	have
ever	RB	ever
scared	VBN	scare
me	PP	me
so	RB	so
much	RB	much
I	PP	I
had	VBD	have
to	TO	to
stop	VB	stop
.	SENT	.
