There	EX	there
was	VBD	be
this	DT	this
boy	NN	boy
in	IN	in
my	PP$	my
class	NN	class
who	WP	who
did	VBD	do
almost	RB	almost
exactly	RB	exactly
that	IN	that
,	,	,
actually	RB	actually
.	SENT	.
He	PP	he
stepped	VBD	step
out	RP	out
into	IN	into
the	DT	the
road	NN	road
without	IN	without
seeing	VBG	see
a	DT	a
car	NN	car
coming	VBG	come
,	,	,
and	CC	and
the	DT	the
car	NN	car
went	VBD	go
straight	RB	straight
over	IN	over
his	PP$	his
shoes	NNS	shoe
.	SENT	.
The	DT	the
mad	JJ	mad
thing	NN	thing
was	VBD	be
he	PP	he
was	VBD	be
totally	RB	totally
fine	JJ	fine
because	IN	because
his	PP$	his
shoes	NNS	shoe
were	VBD	be
way	RB	way
too	RB	too
big	JJ	big
for	IN	for
him	PP	him
,	,	,
so	RB	so
it	PP	it
just	RB	just
sort	VB	sort
of	IN	of
took	VBD	take
them	PP	them
rather	RB	rather
than	IN	than
his	PP$	his
feet	NNS	foot
.	SENT	.
He	PP	he
was	VBD	be
such	JJ	such
a	DT	a
sweet	JJ	sweet
boy	NN	boy
,	,	,
I	PP	I
really	RB	really
hope	VBP	hope
he	PP	he
’s	VBZ	be
okay	JJ	okay
now	RB	now
.	SENT	.
At	IN	at
school	NN	school
he	PP	he
always	RB	always
used	VBD	use
to	TO	to
write	VB	write
these	DT	these
lists	NNS	list
,	,	,
and	CC	and
he	PP	he
was	VBD	be
n’t	RB	n't
very	RB	very
handsome	JJ	handsome
,	,	,
bless	VB	bless
him	PP	him
.	SENT	.
