When	WRB	when
we	PP	we
reference	VBP	reference
from	IN	from
the	DT	the
textbook	NN	textbook
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
it	PP	it
in	IN	in
this	DT	this
really	RB	really
specific	JJ	specific
way	NN	way
.	SENT	.
So	RB	so
it	PP	it
’ll	RB	<unknown>
be	VB	be
like	IN	like
“	``	"
according	VBG	accord
to	TO	to
2015	CD	@card@
[	SYM	[
author	NN	author
]	SYM	]
”	''	"
and	CC	and
then	RB	then
you	PP	you
either	RB	either
put	VBD	put
the	DT	the
quote	NN	quote
or	CC	or
you	PP	you
paraphrase	VBP	paraphrase
what	WP	what
they	PP	they
’ve	VBP	have
said	VBN	say
.	SENT	.
Then	RB	then
after	IN	after
that	IN	that
you	PP	you
have	VBP	have
to	TO	to
add	VB	add
“	``	"
cited	VBN	cite
in	IN	in
2014	CD	@card@
”	''	"
with	IN	with
the	DT	the
page	NN	page
number	NN	number
from	IN	from
the	DT	the
book	NN	book
you	PP	you
’ve	VBP	have
actually	RB	actually
got	VBN	get
in	IN	in
front	NN	front
of	IN	of
you	PP	you
.	SENT	.
It	PP	it
’s	VBZ	be
a	DT	a
bit	NN	bit
weird	JJ	weird
because	IN	because
it	PP	it
ends	VBZ	end
up	RP	up
looking	VBG	look
as	RB	as
if	IN	if
I	PP	I
’ve	VBP	have
read	VBN	read
loads	NNS	load
more	RBR	more
original	JJ	original
sources	NNS	source
than	IN	than
I	PP	I
actually	RB	actually
have	VBP	have
.	SENT	.
Really	RB	really
I	PP	I
’ve	VBP	have
just	RB	just
read	VBN	read
the	DT	the
one	CD	one
textbook	NN	textbook
,	,	,
but	CC	but
the	DT	the
way	NN	way
the	DT	the
system	NN	system
’s	POS	's
set	NN	set
up	RB	up
makes	VBZ	make
it	PP	it
seem	VBP	seem
a	DT	a
lot	NN	lot
more	RBR	more
impressive	JJ	impressive
than	IN	than
it	PP	it
is	VBZ	be
.	SENT	.
