when	WRB	when
I	PP	I
first	RB	first
started	VBD	start
there	RB	there
it	PP	it
was	VBD	be
meant	VBN	mean
to	TO	to
be	VB	be
this	DT	this
two	CD	two
week	NN	week
trial	NN	trial
,	,	,
so	RB	so
I	PP	I
thought	VBD	think
I	PP	I
could	MD	could
just	RB	just
about	RB	about
manage	VB	manage
it	PP	it
,	,	,
but	CC	but
it	PP	it
ended	VBD	end
up	RP	up
dragging	VBG	drag
on	IN	on
for	IN	for
six	CD	six
weeks	NNS	week
with	IN	with
no	DT	no
pay	NN	pay
at	IN	at
all	DT	all
,	,	,
so	RB	so
I	PP	I
was	VBD	be
literally	RB	literally
living	VBG	live
off	RP	off
my	PP$	my
savings	NNS	saving
just	RB	just
to	TO	to
get	VB	get
by	IN	by
,	,	,
and	CC	and
by	IN	by
the	DT	the
time	NN	time
they	PP	they
finally	RB	finally
started	VBD	start
paying	VBG	pay
me	PP	me
the	DT	the
money	NN	money
just	RB	just
disappeared	VBD	disappear
straight	RB	straight
into	IN	into
covering	VBG	cover
my	PP$	my
overdraft	NN	overdraft
and	CC	and
other	JJ	other
debts	NNS	debt
,	,	,
so	RB	so
I	PP	I
never	RB	never
really	RB	really
saw	VBD	see
any	DT	any
of	IN	of
it	PP	it
,	,	,
and	CC	and
over	IN	over
the	DT	the
next	JJ	next
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
years	NNS	year
I	PP	I
went	VBD	go
from	IN	from
being	VBG	be
really	RB	really
raw	JJ	raw
and	CC	and
untrained	JJ	untrained
as	IN	as
a	DT	a
journalist	NN	journalist
to	TO	to
actually	RB	actually
knowing	VBG	know
what	WP	what
I	PP	I
was	VBD	be
doing	VBG	do
,	,	,
but	CC	but
I	PP	I
was	VBD	be
still	RB	still
stuck	VBN	stick
on	IN	on
exactly	RB	exactly
the	DT	the
same	JJ	same
wage	NN	wage
,	,	,
which	WDT	which
was	VBD	be
pretty	RB	pretty
disheartening	VBG	dishearten
.	SENT	.
