What	WP	what
I	PP	I
do	VBP	do
now	RB	now
is	VBZ	be
sleep	NN	sleep
with	IN	with
just	RB	just
one	CD	one
of	IN	of
those	DT	those
inner-ear	NN	<unknown>
headphones	NN	headphones
in	IN	in
,	,	,
and	CC	and
the	DT	the
other	JJ	other
ear	NN	ear
goes	VBZ	go
on	IN	on
the	DT	the
pillow	NN	pillow
,	,	,
and	CC	and
it	PP	it
helps	VBZ	help
a	DT	a
lot	NN	lot
with	IN	with
the	DT	the
noise	NN	noise
.	SENT	.
Honestly	RB	honestly
,	,	,
those	DT	those
in-ear	NN	<unknown>
headphones	NN	headphones
have	VBP	have
been	VBN	be
a	DT	a
godsend	NN	godsend
for	IN	for
me	PP	me
.	SENT	.
I	PP	I
used	VBD	use
to	TO	to
be	VB	be
such	PDT	such
a	DT	a
light	JJ	light
sleeper	NN	sleeper
,	,	,
every	DT	every
little	JJ	little
thing	NN	thing
would	MD	would
wake	VB	wake
me	PP	me
up	RP	up
.	SENT	.
In	IN	in
India	NP	India
it	PP	it
was	VBD	be
awful	JJ	awful
–	:	-
there	EX	there
were	VBD	be
constant	JJ	constant
beeping	VBG	beep
sounds	NNS	sound
,	,	,
and	CC	and
people	NNS	people
knocking	VBG	knock
and	CC	and
trying	VBG	try
the	DT	the
door	NN	door
handles	VBZ	handle
at	IN	at
night	NN	night
,	,	,
which	WDT	which
was	VBD	be
actually	RB	actually
quite	RB	quite
scary	JJ	scary
when	WRB	when
you	PP	you
’re	VBP	be
trying	VBG	try
to	TO	to
sleep	VB	sleep
.	SENT	.
The	DT	the
headphones	NN	headphones
do	VBP	do
n’t	RB	n't
block	VB	block
everything	NN	everything
out	IN	out
completely	RB	completely
,	,	,
so	RB	so
you	PP	you
can	MD	can
still	RB	still
hear	VB	hear
things	NNS	thing
if	IN	if
you	PP	you
need	VBP	need
to	TO	to
,	,	,
but	CC	but
they	PP	they
make	VBP	make
all	PDT	all
the	DT	the
noise	NN	noise
feel	VBP	feel
much	RB	much
further	RBR	further
away	RB	away
.	SENT	.
It	PP	it
’s	VBZ	be
like	IN	like
it	PP	it
’s	VBZ	be
happening	VBG	happen
at	IN	at
a	DT	a
distance	NN	distance
instead	RB	instead
of	IN	of
right	RB	right
next	JJ	next
to	TO	to
you	PP	you
,	,	,
which	WDT	which
makes	VBZ	make
it	PP	it
so	RB	so
much	RB	much
easier	JJR	easy
to	TO	to
get	VB	get
to	TO	to
sleep	VB	sleep
.	SENT	.
