My	PP$	my
drumming	VBG	drum
teacher	NN	teacher
plays	VBZ	play
there	RB	there
quite	RB	quite
regularly	RB	regularly
now	RB	now
,	,	,
you	PP	you
know	VBP	know
–	:	-
he	PP	he
’s	VBZ	have
got	VBN	get
this	DT	this
monthly	JJ	monthly
gig	NN	gig
up	RB	up
at	IN	at
the	DT	the
Olympic	NP	Olympic
Park	NP	Park
.	SENT	.
It	PP	it
’s	VBZ	be
funny	JJ	funny
,	,	,
you	PP	you
think	VBP	think
of	IN	of
it	PP	it
as	IN	as
just	RB	just
being	VBG	be
for	IN	for
the	DT	the
Games	NPS	Games
,	,	,
but	CC	but
it	PP	it
’s	VBZ	be
still	RB	still
very	RB	very
much	RB	much
a	DT	a
proper	JJ	proper
place	NN	place
people	NNS	people
go	VBP	go
.	SENT	.
They	PP	they
’ve	VBP	have
kept	VBN	keep
it	PP	it
going	VBG	go
with	IN	with
all	DT	all
sorts	NNS	sort
of	IN	of
sports	NNS	sport
happening	VBG	happen
,	,	,
and	CC	and
there	EX	there
are	VBP	be
restaurants	NNS	restaurant
and	CC	and
pubs	NNS	pub
and	CC	and
different	JJ	different
events	NNS	event
on	IN	on
,	,	,
so	RB	so
it	PP	it
’s	VBZ	be
actually	RB	actually
a	DT	a
really	RB	really
lovely	JJ	lovely
place	NN	place
to	TO	to
spend	VB	spend
time	NN	time
,	,	,
not	RB	not
just	RB	just
a	DT	a
big	JJ	big
empty	JJ	empty
stadium	NN	stadium
.	SENT	.
Taking	VBG	take
you	PP	you
two	CD	two
out	IN	out
to	TO	to
restaurants	NNS	restaurant
there	RB	there
or	CC	or
anywhere	RB	anywhere
else	RB	else
is	VBZ	be
definitely	RB	definitely
easier	JJR	easy
now	RB	now
you	PP	you
’re	VBP	be
older	JJR	old
,	,	,
but	CC	but
it	PP	it
can	MD	can
still	RB	still
be	VB	be
a	DT	a
bit	NN	bit
stressful	JJ	stressful
once	IN	once
you	PP	you
start	VBP	start
getting	VBG	get
bored	VBN	bore
.	SENT	.
It	PP	it
reminds	VBZ	remind
me	PP	me
of	IN	of
when	WRB	when
I	PP	I
was	VBD	be
little	JJ	little
,	,	,
having	VBG	have
those	DT	those
big	JJ	big
roast	NN	roast
dinners	NNS	dinner
at	IN	at
Granny	NP	Granny
’s	POS	's
house	NN	house
.	SENT	.
I	PP	I
really	RB	really
did	VBD	do
n’t	RB	n't
like	VB	like
it	PP	it
because	IN	because
we	PP	we
had	VBD	have
to	TO	to
sit	VB	sit
there	RB	there
for	IN	for
ages	NNS	age
at	IN	at
the	DT	the
table	NN	table
,	,	,
and	CC	and
it	PP	it
just	RB	just
felt	VBD	feel
endless	JJ	endless
.	SENT	.
Children	NNS	child
generally	RB	generally
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
sit	VB	sit
still	RB	still
in	IN	in
restaurants	NNS	restaurant
,	,	,
do	VBP	do
they	PP	they
?	SENT	?
It	PP	it
’s	VBZ	be
much	RB	much
the	DT	the
same	JJ	same
thing	NN	thing
:	:	:
grown-ups	NNS	grown-up
enjoying	VBG	enjoy
the	DT	the
meal	NN	meal
and	CC	and
the	DT	the
chat	NN	chat
,	,	,
and	CC	and
kids	NNS	kid
just	RB	just
wanting	VBG	want
to	TO	to
get	VB	get
up	RP	up
and	CC	and
move	VB	move
about	RB	about
.	SENT	.
