My	PP$	my
old	JJ	old
car	NN	car
was	VBD	be
only	RB	only
really	RB	really
worth	JJ	worth
about	IN	about
five	CD	five
hundred	CD	hundred
quid	NN	quid
,	,	,
like	IN	like
properly	RB	properly
,	,	,
if	IN	if
that	DT	that
,	,	,
and	CC	and
they	PP	they
first	RB	first
came	VBD	come
out	RP	out
and	CC	and
offered	VBD	offer
me	PP	me
six	CD	six
fifty	CD	fifty
for	IN	for
it	PP	it
,	,	,
which	WDT	which
I	PP	I
already	RB	already
thought	VBD	think
was	VBD	be
generous	JJ	generous
.	SENT	.
Then	RB	then
I	PP	I
basically	RB	basically
just	RB	just
said	VBD	say
to	TO	to
them	PP	them
,	,	,
this	DT	this
is	VBZ	be
how	WRB	how
much	JJ	much
cash	NN	cash
I	PP	I
’ve	VBP	have
actually	RB	actually
got	VBN	get
,	,	,
laid	VBD	lay
it	PP	it
all	DT	all
out	RP	out
,	,	,
and	CC	and
he	PP	he
did	VBD	do
that	IN	that
whole	JJ	whole
“	``	"
I	PP	I
’ll	RB	<unknown>
just	RB	just
go	VB	go
and	CC	and
check	VB	check
with	IN	with
my	PP$	my
manager	NN	manager
”	''	"
thing	NN	thing
.	SENT	.
He	PP	he
disappeared	VBD	disappear
for	IN	for
a	DT	a
bit	NN	bit
,	,	,
came	VBD	come
back	RB	back
all	DT	all
chirpy	JJ	chirpy
saying	NN	saying
I	PP	I
’d	VBD	have
got	VBN	get
a	DT	a
great	JJ	great
deal	NN	deal
,	,	,
and	CC	and
bumped	VBD	bump
the	DT	the
offer	NN	offer
up	RB	up
to	TO	to
nine	CD	nine
hundred	CD	hundred
.	SENT	.
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
yep	NNS	<unknown>
,	,	,
I	PP	I
’ll	RB	<unknown>
take	VBP	take
that	DT	that
.	SENT	.
