No	UH	no
,	,	,
it	PP	it
’s	VBZ	be
still	RB	still
quite	RB	quite
a	DT	a
long	JJ	long
way	NN	way
off	RB	off
,	,	,
so	RB	so
I	PP	I
do	VBP	do
n’t	RB	n't
think	VB	think
it	PP	it
’ll	RB	<unknown>
be	VB	be
the	DT	the
inauguration	NN	inauguration
of	IN	of
the	DT	the
new	JJ	new
space	NN	space
at	IN	at
all	DT	all
.	SENT	.
They	PP	they
ca	MD	ca
n’t	RB	n't
really	RB	really
start	VB	start
borrowing	NN	borrowing
anything	NN	anything
until	IN	until
there	EX	there
’s	VBZ	be
a	DT	a
very	RB	very
clear	JJ	clear
idea	NN	idea
of	IN	of
what	WP	what
the	DT	the
exhibition	NN	exhibition
is	VBZ	be
actually	RB	actually
about	RB	about
,	,	,
so	IN	so
everything	NN	everything
’s	VBZ	be
a	DT	a
bit	NN	bit
on	IN	on
hold	NN	hold
in	IN	in
that	DT	that
sense	NN	sense
.	SENT	.
For	IN	for
the	DT	the
moment	NN	moment
I	PP	I
’m	NN	<unknown>
just	RB	just
working	VBG	work
on	IN	on
the	DT	the
plan	NN	plan
on	IN	on
the	DT	the
computer	NN	computer
,	,	,
trying	VBG	try
to	TO	to
get	VB	get
this	DT	this
up	RB	up
properly	RB	properly
,	,	,
maybe	RB	maybe
change	VB	change
some	DT	some
of	IN	of
the	DT	the
titles	NNS	title
,	,	,
and	CC	and
then	RB	then
open	VB	open
it	PP	it
all	RB	all
in	IN	in
Illustrator	NN	illustrator
so	IN	so
I	PP	I
can	MD	can
lay	VB	lay
it	PP	it
out	IN	out
the	DT	the
way	NN	way
I	PP	I
want	VBP	want
.	SENT	.
