There	EX	there
’s	VBZ	be
this	DT	this
brewer	NN	brewer
I	PP	I
know	VBP	know
who	WP	who
really	RB	really
plays	VBZ	play
around	RP	around
with	IN	with
his	PP$	his
beers	NNS	beer
.	SENT	.
He	PP	he
’ll	RB	<unknown>
chuck	VBP	chuck
a	DT	a
whole	JJ	whole
basket	NN	basket
of	IN	of
orange	JJ	orange
peel	NN	peel
into	IN	into
a	DT	a
brew	NN	brew
just	RB	just
to	TO	to
give	VB	give
it	PP	it
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
tang	NN	tang
,	,	,
that	DT	that
sort	NN	sort
of	IN	of
thing	NN	thing
.	SENT	.
He	PP	he
’s	VBZ	be
always	RB	always
deciding	VBG	decide
what	WP	what
a	DT	a
particular	JJ	particular
brew	NN	brew
needs	NNS	need
,	,	,
trying	VBG	try
something	NN	something
different	JJ	different
each	DT	each
time	NN	time
.	SENT	.
Once	RB	once
he	PP	he
’s	VBZ	have
done	VBN	do
messing	VBG	mess
about	RB	about
with	IN	with
it	PP	it
,	,	,
he	PP	he
leaves	VBZ	leave
it	PP	it
for	IN	for
a	DT	a
couple	NN	couple
of	IN	of
days	NNS	day
to	TO	to
settle	VB	settle
before	IN	before
he	PP	he
barrels	VBZ	barrel
it	PP	it
up	RP	up
.	SENT	.
And	CC	and
he	PP	he
never	RB	never
does	VBZ	do
massive	JJ	massive
batches	NNS	batch
either	CC	either
,	,	,
usually	RB	usually
just	RB	just
the	DT	the
two	CD	two
barrels	NNS	barrel
of	IN	of
each	DT	each
variation	NN	variation
.	SENT	.
