there	EX	there
was	VBD	be
this	DT	this
older	JJR	old
chap	NN	chap
staying	VBG	stay
with	IN	with
us	PP	us
,	,	,
one	CD	one
of	IN	of
the	DT	the
guests	NNS	guest
,	,	,
and	CC	and
while	IN	while
everybody	NN	everybody
else	RB	else
was	VBD	be
lugging	VBG	lug
stuff	NN	stuff
up	RP	up
and	CC	and
down	RP	down
that	DT	that
long	JJ	long
flight	NN	flight
of	IN	of
steps	NNS	step
,	,	,
he	PP	he
just	RB	just
quietly	RB	quietly
set	VB	set
himself	PP	himself
a	DT	a
different	JJ	different
job	NN	job
.	SENT	.
the	DT	the
grass	NN	grass
had	VBD	have
grown	VBN	grow
right	RB	right
over	IN	over
this	DT	this
old	JJ	old
path	NN	path
so	IN	so
you	PP	you
could	MD	could
n't	RB	n't
even	RB	even
see	VB	see
it	PP	it
anymore	RB	anymore
.	SENT	.
completely	RB	completely
overgrown	VBN	overgrow
,	,	,
nobody	NN	nobody
was	VBD	be
using	VBG	use
it	PP	it
.	SENT	.
he	PP	he
decided	VBD	decide
off	RP	off
his	PP$	his
own	JJ	own
bat	NN	bat
to	TO	to
start	VB	start
clearing	VBG	clear
it	PP	it
,	,	,
bit	NN	bit
by	IN	by
bit	NN	bit
,	,	,
so	RB	so
you	PP	you
could	MD	could
actually	RB	actually
see	VB	see
where	WRB	where
the	DT	the
path	NN	path
went	VBD	go
and	CC	and
walk	VB	walk
along	IN	along
it	PP	it
again	RB	again
.	SENT	.
he	PP	he
said	VBD	say
,	,	,
“	``	"
it	PP	it
’s	VBZ	be
not	RB	not
really	RB	really
my	PP$	my
job	NN	job
,	,	,
but	CC	but
I	PP	I
like	VBP	like
to	TO	to
do	VB	do
something	NN	something
when	WRB	when
I	PP	I
arrive	VBP	arrive
,	,	,
”	''	"
and	CC	and
he	PP	he
’d	VBD	have
picked	VBN	pick
“	``	"
finding	VBG	find
the	DT	the
path	NN	path
”	''	"
as	IN	as
his	PP$	his
task	NN	task
for	IN	for
the	DT	the
day	NN	day
.	SENT	.
