One	CD	one
of	IN	of
our	PP$	our
absolutely	RB	absolutely
key	JJ	key
marketing	NN	marketing
messages	NNS	message
was	VBD	be
always	RB	always
,	,	,
“	``	"
You	PP	you
have	VBP	have
to	TO	to
start	VB	start
early	RB	early
.	SENT	.
”	''	"
We	PP	we
kept	VBD	keep
stressing	VBG	stress
that	IN	that
employers	NNS	employer
’	POS	'
deadlines	NNS	deadline
come	VBP	come
round	NN	round
far	RB	far
sooner	RBR	sooner
than	IN	than
students	NNS	student
realise	VBP	realise
,	,	,
and	CC	and
we	PP	we
were	VBD	be
gradually	RB	gradually
getting	VBG	get
better	RBR	well
at	IN	at
shifting	VBG	shift
them	PP	them
to	TO	to
think	VB	think
ahead	RB	ahead
each	DT	each
year	NN	year
.	SENT	.
The	DT	the
difficulty	NN	difficulty
,	,	,
from	IN	from
a	DT	a
marketing	NN	marketing
point	NN	point
of	IN	of
view	NN	view
,	,	,
was	VBD	be
getting	VBG	get
across	RP	across
that	IN	that
we	PP	we
were	VBD	be
n’t	RB	n't
just	RB	just
a	DT	a
vague	JJ	vague
“	``	"
advice	NN	advice
shop	NN	shop
”	''	"
–	:	-
we	PP	we
actually	RB	actually
had	VBD	have
structured	VBN	structure
ways	NNS	way
of	IN	of
helping	VBG	help
them	PP	them
work	VB	work
through	IN	through
really	RB	really
knotty	JJ	knotty
career	NN	career
decisions	NNS	decision
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
many	JJ	many
of	IN	of
them	PP	them
stayed	VBD	stay
away	RB	away
precisely	RB	precisely
because	IN	because
they	PP	they
did	VBD	do
n’t	RB	n't
yet	RB	yet
know	VB	know
what	WP	what
they	PP	they
wanted	VBD	want
,	,	,
when	WRB	when
in	IN	in
fact	NN	fact
that	WDT	that
was	VBD	be
the	DT	the
best	JJS	good
time	NN	time
to	TO	to
come	VB	come
.	SENT	.
