No	UH	no
,	,	,
I	PP	I
was	VBD	be
n’t	RB	n't
married	VBN	marry
then	RB	then
.	SENT	.
I	PP	I
met	VBD	meet
him	PP	him
in	IN	in
Queensland	NP	Queensland
House	NP	House
on	IN	on
the	DT	the
Strand	NP	Strand
,	,	,
before	IN	before
we	PP	we
both	CC	both
went	VBD	go
out	RP	out
to	TO	to
Brisbane	NP	Brisbane
.	SENT	.
I	PP	I
’d	VBD	have
arranged	VBN	arrange
a	DT	a
proper	JJ	proper
house	NN	house
and	CC	and
car	NN	car
swap	NN	swap
with	IN	with
a	DT	a
family	NN	family
,	,	,
so	RB	so
I	PP	I
knew	VBD	know
exactly	RB	exactly
what	WP	what
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
.	SENT	.
He	PP	he
thought	VBD	think
he	PP	he
’d	VBD	have
arranged	VBN	arrange
a	DT	a
house	NN	house
swap	NN	swap
as	IN	as
well	RB	well
,	,	,
but	CC	but
what	WP	what
he	PP	he
’d	VBD	have
really	RB	really
done	VBN	do
was	VBD	be
just	RB	just
sort	NN	sort
out	IN	out
buying	VBG	buy
his	PP$	his
own	JJ	own
car	NN	car
.	SENT	.
Once	RB	once
he	PP	he
got	VBD	get
to	TO	to
Australia	NP	Australia
and	CC	and
bought	VBD	buy
his	PP$	his
car	NN	car
,	,	,
he	PP	he
realised	VBD	realise
he	PP	he
did	VBD	do
n’t	RB	n't
actually	RB	actually
have	VB	have
a	DT	a
house	NN	house
to	TO	to
himself	PP	himself
after	IN	after
all	DT	all
,	,	,
because	IN	because
the	DT	the
wife	NN	wife
came	VBD	come
back	RB	back
.	SENT	.
