Yes	UH	yes
,	,	,
there	EX	there
is	VBZ	be
definitely	RB	definitely
more	JJR	more
money	NN	money
sloshing	VBG	slosh
around	RP	around
in	IN	in
America	NP	America
,	,	,
so	RB	so
funding	NN	funding
is	VBZ	be
easier	JJR	easy
there	RB	there
.	SENT	.
It	PP	it
reminds	VBZ	remind
me	PP	me
of	IN	of
someone	NN	someone
I	PP	I
know	VBP	know
who	WP	who
went	VBD	go
quite	RB	quite
far	RB	far
down	RB	down
the	DT	the
academic	JJ	academic
route	NN	route
in	IN	in
philosophy	NN	philosophy
.	SENT	.
He	PP	he
wrote	VBD	write
a	DT	a
very	RB	very
good	JJ	good
thesis	NN	thesis
,	,	,
got	VBD	get
himself	PP	himself
a	DT	a
teaching	NN	teaching
post	NN	post
,	,	,
all	RB	all
looked	VBD	look
very	RB	very
promising	JJ	promising
on	IN	on
paper	NN	paper
.	SENT	.
And	CC	and
then	RB	then
he	PP	he
just	RB	just
completely	RB	completely
lost	VBN	lose
interest	NN	interest
in	IN	in
the	DT	the
whole	JJ	whole
thing	NN	thing
and	CC	and
walked	VBD	walk
away	RB	away
.	SENT	.
Partly	RB	partly
because	IN	because
he	PP	he
decided	VBD	decide
that	IN	that
most	JJS	most
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
academic	JJ	academic
philosophy	NN	philosophy
were	VBD	be
frankly	RB	frankly
pretty	RB	pretty
second‑rate	JJ	<unknown>
,	,	,
not	RB	not
people	NNS	people
he	PP	he
wanted	VBD	want
to	TO	to
spend	VB	spend
his	PP$	his
life	NN	life
around	RB	around
.	SENT	.
I	PP	I
actually	RB	actually
think	VBP	think
you	PP	you
’d	MD	will
get	VB	get
on	IN	on
with	IN	with
him	PP	him
very	RB	very
well	RB	well
.	SENT	.
