whether	IN	whether
it	PP	it
’s	VBZ	be
“	``	"
me	FW	me
”	''	"
or	CC	or
“	``	"
us	PP	us
”	''	"
,	,	,
I	PP	I
do	VBP	do
n’t	RB	n't
think	VB	think
there	EX	there
’s	VBZ	be
any	DT	any
point	NN	point
trying	VBG	try
to	TO	to
pin	VB	pin
blame	NN	blame
on	IN	on
either	DT	either
of	IN	of
us	PP	us
.	SENT	.
You	PP	you
have	VBP	have
n’t	RB	n't
done	VBN	do
anything	NN	anything
wrong	JJ	wrong
,	,	,
and	CC	and
I	PP	I
really	RB	really
do	VBP	do
n’t	RB	n't
want	VB	want
you	PP	you
sitting	VBG	sit
there	RB	there
feeling	VBG	feel
guilty	JJ	guilty
or	CC	or
beating	VBG	beat
yourself	PP	yourself
up	RP	up
about	IN	about
it	PP	it
,	,	,
because	IN	because
that	WDT	that
’s	VBZ	be
just	RB	just
not	RB	not
what	WP	what
this	DT	this
is	VBZ	be
about	RB	about
.	SENT	.
What	WP	what
’s	VBZ	be
happened	VBN	happen
between	IN	between
us	PP	us
has	VBZ	have
n’t	RB	n't
been	VBN	be
about	IN	about
you	PP	you
doing	VBG	do
some	DT	some
specific	JJ	specific
bad	JJ	bad
thing	NN	thing
,	,	,
or	CC	or
me	PP	me
doing	VBG	do
some	DT	some
specific	JJ	specific
bad	JJ	bad
thing	NN	thing
.	SENT	.
It	PP	it
’s	VBZ	be
the	DT	the
way	NN	way
our	PP$	our
characters	NNS	character
have	VBP	have
interacted	VBN	interact
over	IN	over
the	DT	the
last	JJ	last
two	CD	two
years	NNS	year
,	,	,
the	DT	the
way	NN	way
we	PP	we
fit	VBP	fit
–	:	-
or	CC	or
do	VBP	do
n’t	RB	n't
fit	VB	fit
–	:	-
together	RB	together
.	SENT	.
That	DT	that
’s	VBZ	be
what	WP	what
’s	VBZ	have
led	VBN	lead
us	PP	us
here	RB	here
,	,	,
not	RB	not
some	DT	some
single	JJ	single
action	NN	action
you	PP	you
should	MD	should
feel	VB	feel
ashamed	JJ	ashamed
of	IN	of
or	CC	or
held	VBD	hold
responsible	JJ	responsible
for	IN	for
.	SENT	.
I	PP	I
know	VBP	know
you	PP	you
might	MD	might
not	RB	not
see	VB	see
it	PP	it
that	DT	that
way	NN	way
,	,	,
but	CC	but
from	IN	from
my	PP$	my
side	NN	side
I	PP	I
’ve	VBP	have
been	VBN	be
absolutely	RB	absolutely
eaten	VBN	eat
up	RP	up
by	IN	by
guilt	NN	guilt
about	IN	about
ending	VBG	end
it	PP	it
.	SENT	.
I	PP	I
’ve	VBP	have
gone	VBN	go
over	RP	over
and	CC	and
over	IN	over
it	PP	it
in	IN	in
my	PP$	my
head	NN	head
,	,	,
feeling	VBG	feel
awful	JJ	awful
about	IN	about
hurting	VBG	hurt
you	PP	you
and	CC	and
about	IN	about
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
make	VB	make
it	PP	it
work	VB	work
.	SENT	.
So	RB	so
if	IN	if
anyone	NN	anyone
’s	VBZ	have
been	VBN	be
drowning	VBG	drown
in	IN	in
guilt	NN	guilt
,	,	,
it	PP	it
’s	VBZ	be
me	PP	me
.	SENT	.
And	CC	and
that	DT	that
’s	VBZ	be
exactly	RB	exactly
why	WRB	why
I	PP	I
’m	NN	<unknown>
saying	VBG	say
this	DT	this
:	:	:
the	DT	the
whole	JJ	whole
guilt	NN	guilt
thing	NN	thing
,	,	,
for	IN	for
both	DT	both
of	IN	of
us	PP	us
,	,	,
it	PP	it
just	RB	just
does	VBZ	do
n’t	RB	n't
help	VB	help
.	SENT	.
It	PP	it
keeps	VBZ	keep
us	PP	us
stuck	VBD	stick
.	SENT	.
If	IN	if
you	PP	you
’re	VBP	be
going	VBG	go
to	TO	to
move	VB	move
on	IN	on
–	:	-
and	CC	and
if	IN	if
I	PP	I
’m	NN	<unknown>
going	VBG	go
to	TO	to
move	VB	move
on	IN	on
–	:	-
we	PP	we
both	CC	both
have	VB	have
to	TO	to
drop	VB	drop
this	DT	this
idea	NN	idea
that	IN	that
someone	NN	someone
has	VBZ	have
to	TO	to
be	VB	be
“	``	"
at	IN	at
fault	NN	fault
”	''	"
.	SENT	.
There	EX	there
does	VBZ	do
n’t	RB	n't
have	VB	have
to	TO	to
be	VB	be
a	DT	a
villain	NN	villain
here	RB	here
.	SENT	.
It	PP	it
’s	VBZ	be
just	RB	just
the	DT	the
way	NN	way
things	NNS	thing
have	VBP	have
turned	VBN	turn
out	RP	out
between	IN	between
two	CD	two
people	NNS	people
over	IN	over
time	NN	time
,	,	,
and	CC	and
the	DT	the
only	JJ	only
way	NN	way
either	CC	either
of	IN	of
us	PP	us
gets	VBZ	get
any	DT	any
peace	NN	peace
is	VBZ	be
by	IN	by
letting	VBG	let
go	VB	go
of	IN	of
the	DT	the
guilt	NN	guilt
and	CC	and
that	DT	that
way	NN	way
of	IN	of
thinking	NN	thinking
.	SENT	.
