No	UH	no
,	,	,
I	PP	I
would	MD	would
n’t	RB	n't
say	VB	say
it	PP	it
’s	VBZ	be
properly	RB	properly
democratic	JJ	democratic
,	,	,
not	RB	not
in	IN	in
the	DT	the
sense	NN	sense
of	IN	of
everyone	NN	everyone
having	VBG	have
an	DT	an
equal	JJ	equal
say	NN	say
about	IN	about
everything	NN	everything
.	SENT	.
It	PP	it
’s	VBZ	be
more	RBR	more
that	IN	that
the	DT	the
work	NN	work
’s	VBZ	be
shared	VBN	share
out	RP	out
now	RB	now
,	,	,
rather	RB	rather
than	IN	than
us	PP	us
three	CD	three
carrying	NN	carrying
almost	RB	almost
all	RB	all
of	IN	of
it	PP	it
.	SENT	.
is	VBZ	be
very	RB	very
good	JJ	good
at	IN	at
delegating	VBG	delegate
naturally	RB	naturally
,	,	,
he	PP	he
just	RB	just
seems	VBZ	seem
to	TO	to
know	VB	know
who	WP	who
should	MD	should
do	VB	do
what	WP	what
and	CC	and
he	PP	he
’s	VBZ	be
comfortable	JJ	comfortable
handing	VBG	hand
things	NNS	thing
over	RP	over
.	SENT	.
I	PP	I
’ve	VBP	have
had	VBD	have
to	TO	to
learn	VB	learn
that	IN	that
a	DT	a
bit	NN	bit
more	RBR	more
.	SENT	.
I	PP	I
used	VBD	use
to	TO	to
just	RB	just
do	VB	do
everything	NN	everything
myself	PP	myself
,	,	,
and	CC	and
now	RB	now
I	CD	@card@
’m	NN	<unknown>
trying	VBG	try
to	TO	to
be	VB	be
more	JJR	more
of	IN	of
a	DT	a
facilitator	NN	facilitator
and	CC	and
supervisor	NN	supervisor
,	,	,
making	VBG	make
sure	JJ	sure
things	NNS	thing
get	VBP	get
done	VBN	do
and	CC	and
fit	VBN	fit
together	RB	together
,	,	,
instead	RB	instead
of	IN	of
personally	RB	personally
doing	VBG	do
every	DT	every
single	JJ	single
bit	NN	bit
.	SENT	.
I	PP	I
really	RB	really
enjoy	VBP	enjoy
working	VBG	work
with	IN	with
both	DT	both
of	IN	of
them	PP	them
,	,	,
even	RB	even
though	IN	though
they	PP	they
’re	VBP	be
very	RB	very
different	JJ	different
from	IN	from
each	DT	each
other	JJ	other
.	SENT	.
That	DT	that
difference	NN	difference
actually	RB	actually
works	VBZ	work
well	RB	well
for	IN	for
us	PP	us
.	SENT	.
And	CC	and
now	RB	now
’	POS	'
s	NN	S
girlfriend	NN	girlfriend
is	VBZ	be
helping	VBG	help
too	RB	too
,	,	,
which	WDT	which
makes	VBZ	make
a	DT	a
big	JJ	big
difference	NN	difference
.	SENT	.
She	PP	she
takes	VBZ	take
the	DT	the
Photoshop	NN	<unknown>
designs	NNS	design
and	CC	and
actually	RB	actually
turns	VBZ	turn
them	PP	them
into	IN	into
web	NN	web
pages	NNS	page
,	,	,
and	CC	and
she	PP	she
’ll	RB	<unknown>
tweak	VB	tweak
all	PDT	all
the	DT	the
little	JJ	little
layout	NN	layout
details	NNS	detail
.	SENT	.
So	RB	so
she	PP	she
’s	VBZ	be
doing	VBG	do
that	DT	that
bridge	NN	bridge
between	IN	between
the	DT	the
visual	JJ	visual
design	NN	design
and	CC	and
the	DT	the
working	VBG	work
site	NN	site
,	,	,
which	WDT	which
is	VBZ	be
exactly	RB	exactly
the	DT	the
kind	NN	kind
of	IN	of
help	NN	help
we	PP	we
needed	VBD	need
.	SENT	.
