there	EX	there
's	VBZ	be
that	DT	that
famous	JJ	famous
quote	NN	quote
,	,	,
right	RB	right
,	,	,
“	``	"
a	DT	a
language	NN	language
is	VBZ	be
a	DT	a
dialect	NN	dialect
with	IN	with
an	DT	an
army	NN	army
and	CC	and
funding	NN	funding
.	SENT	.
”	''	"
That	DT	that
’s	VBZ	be
kind	NN	kind
of	IN	of
what	WP	what
I	PP	I
’m	NN	<unknown>
getting	VBG	get
at	IN	at
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
what	WP	what
we	PP	we
call	VBP	call
different	JJ	different
languages	NNS	language
are	VBP	be
basically	RB	basically
just	RB	just
dialects	NNS	dialect
that	WDT	that
have	VBP	have
been	VBN	be
split	VBN	split
up	RP	up
by	IN	by
political	JJ	political
borders	NNS	border
and	CC	and
national	JJ	national
pride	NN	pride
more	RBR	more
than	IN	than
anything	NN	anything
else	RB	else
.	SENT	.
Take	VB	take
Urdu	NN	Urdu
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
really	RB	really
closely	RB	closely
related	VBN	relate
one	PP	one
over	RP	over
in	IN	in
India	NP	India
–	:	-
in	IN	in
Pakistan	NP	Pakistan
they	PP	they
’ll	RB	<unknown>
call	VBP	call
it	PP	it
one	CD	one
thing	NN	thing
,	,	,
in	IN	in
India	NP	India
they	PP	they
’ll	RB	<unknown>
call	VBP	call
it	PP	it
another	DT	another
,	,	,
but	CC	but
effectively	RB	effectively
people	NNS	people
are	VBP	be
speaking	VBG	speak
the	DT	the
same	JJ	same
language	NN	language
.	SENT	.
It	PP	it
’s	VBZ	have
just	RB	just
been	VBN	be
given	VBN	give
different	JJ	different
names	NNS	name
because	IN	because
they	PP	they
’re	VBP	be
different	JJ	different
countries	NNS	country
and	CC	and
they	PP	they
want	VBP	want
that	IN	that
separate	JJ	separate
identity	NN	identity
.	SENT	.
So	RB	so
,	,	,
in	IN	in
that	DT	that
sense	NN	sense
,	,	,
they	PP	they
’re	VBP	be
really	RB	really
dialects	NNS	dialect
of	IN	of
the	DT	the
same	JJ	same
thing	NN	thing
rather	RB	rather
than	IN	than
totally	RB	totally
different	JJ	different
languages	NNS	language
.	SENT	.
Do	VB	do
you	PP	you
know	VB	know
what	WP	what
I	PP	I
’m	NN	<unknown>
talking	VBG	talk
about	RB	about
?	SENT	?
