oh	UH	oh
I	PP	I
got	VBD	get
really	RB	really
confused	JJ	confused
then	RB	then
when	WRB	when
I	PP	I
was	VBD	be
talking	VBG	talk
,	,	,
I	PP	I
was	VBD	be
trying	VBG	try
to	TO	to
say	VB	say
like	IN	like
when	WRB	when
you	PP	you
come	VBP	come
up	RP	up
that	DT	that
weekend	NN	weekend
,	,	,
the	DT	the
fourteenth	NN	fourteenth
of	IN	of
November	NP	November
one	CD	one
,	,	,
we	PP	we
do	VBP	do
n’t	RB	n't
have	VB	have
to	TO	to
go	VB	go
out	RP	out
that	DT	that
much	JJ	much
.	SENT	.
But	CC	but
in	IN	in
my	PP$	my
head	NN	head
I	PP	I
suddenly	RB	suddenly
thought	VBD	think
we	PP	we
were	VBD	be
talking	VBG	talk
about	IN	about
Halloween	NP	Halloween
,	,	,
and	CC	and
obviously	RB	obviously
we	PP	we
’re	VBP	be
definitely	RB	definitely
going	VBG	go
out	RP	out
then	RB	then
,	,	,
so	RB	so
I	CD	@card@
kind	NN	kind
of	IN	of
tripped	VBN	trip
over	IN	over
what	WP	what
I	PP	I
was	VBD	be
saying	VBG	say
.	SENT	.
Then	RB	then
I	PP	I
remembered	VBD	remember
it	PP	it
’s	VBZ	be
actually	RB	actually
that	DT	that
different	JJ	different
November	NP	November
date	NN	date
,	,	,
not	RB	not
Halloween	NP	Halloween
.	SENT	.
And	CC	and
like	IN	like
last	JJ	last
time	NN	time
we	PP	we
did	VBD	do
n’t	RB	n't
even	RB	even
meet	VB	meet
up	RP	up
till	IN	till
really	RB	really
late	JJ	late
anyway	RB	anyway
,	,	,
cos	NN	cos
we	PP	we
were	VBD	be
both	DT	both
just	RB	just
sleeping	VBG	sleep
off	RP	off
the	DT	the
night	NN	night
before	RB	before
.	SENT	.
