There	EX	there
was	VBD	be
this	DT	this
plenary	NN	plenary
with	IN	with
the	DT	the
new	JJ	new
chair	NN	chair
or	CC	or
chief	JJ	chief
executive	NN	executive
of	IN	of
English	NP	English
UK	NP	UK
,	,	,
and	CC	and
at	IN	at
first	RB	first
he	PP	he
was	VBD	be
just	RB	just
speaking	VBG	speak
in	IN	in
a	DT	a
fairly	RB	fairly
typical	JJ	typical
,	,	,
nothing-particularly-special	NN	nothing-particularly-special
way	NN	way
.	SENT	.
Then	RB	then
this	DT	this
incredibly	RB	incredibly
pompous	JJ	pompous
bloke	NN	bloke
in	IN	in
the	DT	the
audience	NN	audience
stood	VBD	stand
up	RP	up
and	CC	and
asked	VBD	ask
this	DT	this
ridiculously	RB	ridiculously
long	JJ	long
,	,	,
stupid	JJ	stupid
question	NN	question
.	SENT	.
It	PP	it
was	VBD	be
so	RB	so
obviously	RB	obviously
a	DT	a
trap	NN	trap
,	,	,
and	CC	and
he	PP	he
was	VBD	be
even	RB	even
citing	VBG	cite
research	NN	research
from	IN	from
1985	CD	@card@
as	RB	as
if	IN	if
it	PP	it
proved	VBD	prove
something	NN	something
devastating	JJ	devastating
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
plenary	JJ	plenary
speaker	NN	speaker
just	RB	just
absolutely	RB	absolutely
took	VBD	take
him	PP	him
apart	RB	apart
–	:	-
very	RB	very
polite	JJ	polite
,	,	,
very	RB	very
measured	VBN	measure
,	,	,
but	CC	but
completely	RB	completely
demolished	VBD	demolish
his	PP$	his
argument	NN	argument
.	SENT	.
It	PP	it
was	VBD	be
brilliant	JJ	brilliant
to	TO	to
watch	VB	watch
,	,	,
really	RB	really
good	JJ	good
,	,	,
and	CC	and
totally	RB	totally
changed	VBD	change
the	DT	the
feel	NN	feel
of	IN	of
the	DT	the
session	NN	session
.	SENT	.
