oh	UH	oh
it	PP	it
's	VBZ	be
so	RB	so
embarrassing	JJ	embarrassing
playing	VBG	play
bells	NNS	bell
with	IN	with
the	DT	the
ladies	NNS	lady
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
They	PP	they
're	VBP	be
all	RB	all
terribly	RB	terribly
happy	JJ	happy
and	CC	and
enjoying	VBG	enjoy
themselves	PP	themselves
,	,	,
which	WDT	which
is	VBZ	be
lovely	JJ	lovely
,	,	,
but	CC	but
they	PP	they
just	RB	just
do	VBP	do
n’t	RB	n't
realise	VB	realise
they	PP	they
’re	VBP	be
doing	VBG	do
it	PP	it
wrong	JJ	wrong
.	SENT	.
That	DT	that
’s	VBZ	be
what	WP	what
makes	VBZ	make
it	PP	it
so	RB	so
awkward	JJ	awkward
.	SENT	.
You	PP	you
’re	VBP	be
standing	VBG	stand
there	RB	there
thinking	VBG	think
,	,	,
do	VB	do
I	PP	I
just	RB	just
carry	VBP	carry
on	IN	on
and	CC	and
hope	VB	hope
it	PP	it
somehow	RB	somehow
comes	VBZ	come
together	RB	together
,	,	,
or	CC	or
do	VBP	do
I	PP	I
hang	VBP	hang
back	RB	back
and	CC	and
wait	VB	wait
for	IN	for
them	PP	them
to	TO	to
ring	VB	ring
in	IN	in
time	NN	time
?	SENT	?
It	PP	it
’s	VBZ	be
really	RB	really
difficult	JJ	difficult
to	TO	to
judge	NN	judge
.	SENT	.
I	PP	I
’d	MD	will
absolutely	RB	absolutely
hate	VB	hate
to	TO	to
be	VB	be
the	DT	the
one	CD	one
conducting	NN	conducting
,	,	,
having	VBG	have
to	TO	to
sort	VB	sort
all	PDT	all
that	DT	that
out	RP	out
.	SENT	.
