one	CD	one
of	IN	of
the	DT	the
boys	NNS	boy
just	RB	just
turned	VBD	turn
round	NN	round
and	CC	and
said	VBD	say
he	PP	he
wanted	VBD	want
to	TO	to
remember	VB	remember
grandad	NN	grandad
how	WRB	how
he	PP	he
was	VBD	be
the	DT	the
last	JJ	last
time	NN	time
he	PP	he
’d	VBD	have
seen	VBN	see
him	PP	him
,	,	,
you	PP	you
know	VBP	know
,	,	,
when	WRB	when
he	PP	he
’d	VBD	have
hugged	VBN	hug
him	PP	him
and	CC	and
wished	VBD	wish
him	PP	him
luck	NN	luck
and	CC	and
all	PDT	all
that	DT	that
,	,	,
and	CC	and
I	PP	I
thought	VBD	think
,	,	,
well	RB	well
,	,	,
fair	JJ	fair
enough	NN	enough
,	,	,
that	WDT	that
’s	VBZ	be
his	PP$	his
choice	NN	choice
,	,	,
so	RB	so
we	PP	we
left	VBD	leave
it	PP	it
at	IN	at
that	DT	that
.	SENT	.
After	IN	after
I	PP	I
’d	VBD	have
been	VBN	be
up	IN	up
the	DT	the
hospital	NN	hospital
and	CC	and
come	VB	come
back	RB	back
home	RB	home
,	,	,
we	PP	we
then	RB	then
got	VBD	get
this	DT	this
phone	NN	phone
call	NN	call
saying	VBG	say
he	PP	he
’d	VBD	have
gone	VBN	go
downhill	RB	downhill
really	RB	really
badly	RB	badly
and	CC	and
they	PP	they
did	VBD	do
n’t	RB	n't
think	VB	think
he	PP	he
had	VBD	have
much	JJ	much
time	NN	time
left	VBD	leave
.	SENT	.
That	WDT	that
just	RB	just
threw	VBD	throw
everything	NN	everything
up	RP	up
in	IN	in
the	DT	the
air	NN	air
,	,	,
because	IN	because
we	PP	we
honestly	RB	honestly
did	VBD	do
n’t	RB	n't
know	VB	know
what	WP	what
we	PP	we
’d	MD	will
be	VB	be
walking	VBG	walk
into	IN	into
if	IN	if
we	PP	we
went	VBD	go
back	RB	back
up	RB	up
there	RB	there
,	,	,
or	CC	or
whether	IN	whether
it	PP	it
was	VBD	be
already	RB	already
too	RB	too
late	JJ	late
by	IN	by
then	RB	then
.	SENT	.
It	PP	it
left	VBD	leave
us	PP	us
in	IN	in
this	DT	this
horrible	JJ	horrible
limbo	NN	limbo
,	,	,
not	RB	not
sure	RB	sure
whether	IN	whether
to	TO	to
rush	VB	rush
back	RB	back
to	TO	to
the	DT	the
hospital	NN	hospital
or	CC	or
stay	VB	stay
put	VBN	put
.	SENT	.
