when	WRB	when
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
work	VB	work
I	PP	I
’d	MD	will
have	VB	have
to	TO	to
be	VB	be
out	IN	out
the	DT	the
house	NN	house
for	IN	for
about	RB	about
five	CD	five
to	TO	to
seven	CD	seven
in	IN	in
the	DT	the
morning	NN	morning
,	,	,
in	IN	in
the	DT	the
pitch	NN	pitch
dark	NN	dark
,	,	,
snow	NN	snow
on	IN	on
the	DT	the
ground	NN	ground
,	,	,
absolutely	RB	absolutely
freezing	VBG	freeze
.	SENT	.
I	PP	I
’d	MD	will
rush	VB	rush
to	TO	to
catch	VB	catch
the	DT	the
seven	CD	seven
o’clock	NN	o’clock
bus	NN	bus
,	,	,
then	RB	then
I	PP	I
’d	MD	will
be	VB	be
stood	VBN	stand
there	RB	there
for	IN	for
about	RB	about
half	PDT	half
an	DT	an
hour	NN	hour
in	IN	in
minus	NN	minus
eight	CD	eight
degrees	NNS	degree
waiting	VBG	wait
for	IN	for
the	DT	the
next	JJ	next
one	CD	one
to	TO	to
turn	VB	turn
up	RP	up
.	SENT	.
And	CC	and
once	RB	once
I	PP	I
finally	RB	finally
got	VBD	get
off	RP	off
that	DT	that
second	JJ	second
bus	NN	bus
,	,	,
I	PP	I
still	RB	still
had	VBD	have
a	DT	a
ten	NN	ten
,	,	,
sometimes	RB	sometimes
fifteen	CD	fifteen
minute	NN	minute
walk	NN	walk
,	,	,
all	DT	all
uphill	NN	uphill
,	,	,
from	IN	from
the	DT	the
bus	NN	bus
stop	VB	stop
to	TO	to
get	VB	get
into	IN	into
work	NN	work
.	SENT	.
It	PP	it
was	VBD	be
just	RB	just
a	DT	a
horrible	JJ	horrible
start	NN	start
to	TO	to
the	DT	the
day	NN	day
,	,	,
every	DT	every
day	NN	day
,	,	,
in	IN	in
that	DT	that
kind	NN	kind
of	IN	of
weather	NN	weather
.	SENT	.
