Well	RB	well
,	,	,
I	PP	I
’ll	RB	<unknown>
just	RB	just
say	VBP	say
,	,	,
to	TO	to
start	VB	start
with	IN	with
,	,	,
that	IN	that
we	PP	we
’re	VBP	be
putting	VBG	put
the	DT	the
recorder	NN	recorder
on	IN	on
now	RB	now
,	,	,
and	CC	and
what	WP	what
we	PP	we
’re	VBP	be
going	VBG	go
to	TO	to
be	VB	be
doing	VBG	do
is	VBZ	be
talking	VBG	talk
together	RB	together
about	IN	about
our	PP$	our
experiences	NNS	experience
of	IN	of
having	VBG	have
,	,	,
and	CC	and
being	VBG	be
treated	VBN	treat
for	IN	for
,	,	,
gynaecological	JJ	gynaecological
cancers	NNS	cancer
.	SENT	.
The	DT	the
idea	NN	idea
is	VBZ	be
that	IN	that
this	DT	this
is	VBZ	be
n’t	RB	n't
just	RB	just
for	IN	for
us	PP	us
,	,	,
but	CC	but
that	IN	that
the	DT	the
recording	NN	recording
will	MD	will
be	VB	be
used	VBN	use
for	IN	for
research	NN	research
connected	VBN	connect
with	IN	with
Cambridge	NP	Cambridge
University	NP	University
Press	NP	Press
,	,	,
and	CC	and
also	RB	also
for	IN	for
a	DT	a
charity	NN	charity
called	VBD	call
The	DT	the
Eve	NP	Eve
Appeal	NN	appeal
.	SENT	.
The	DT	the
Eve	NP	Eve
Appeal	NN	appeal
is	VBZ	be
very	RB	very
much	JJ	much
about	IN	about
campaigning	VBG	campaign
for	IN	for
greater	JJR	great
awareness	NN	awareness
of	IN	of
gynaecological	JJ	gynaecological
cancers	NNS	cancer
among	IN	among
women	NNS	woman
,	,	,
and	CC	and
in	IN	in
particular	JJ	particular
younger	JJR	young
women	NNS	woman
.	SENT	.
There	EX	there
’s	VBZ	be
this	DT	this
assumption	NN	assumption
that	IN	that
younger	JJR	young
women	NNS	woman
are	VBP	be
terribly	RB	terribly
open	JJ	open
about	IN	about
sex	NN	sex
and	CC	and
about	IN	about
their	PP$	their
bodies	NNS	body
,	,	,
but	CC	but
in	IN	in
fact	NN	fact
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
do	VBP	do
n’t	RB	n't
really	RB	really
know	VB	know
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
various	JJ	various
bits	NNS	bit
,	,	,
or	CC	or
the	DT	the
proper	JJ	proper
terminology	NN	terminology
,	,	,
and	CC	and
that	WDT	that
can	MD	can
have	VB	have
quite	RB	quite
serious	JJ	serious
consequences	NNS	consequence
.	SENT	.
If	IN	if
you	PP	you
do	VBP	do
n’t	RB	n't
know	VB	know
what	WP	what
things	NNS	thing
are	VBP	be
called	VBN	call
,	,	,
or	CC	or
you	PP	you
feel	VBP	feel
awkward	JJ	awkward
about	IN	about
saying	VBG	say
the	DT	the
words	NNS	word
,	,	,
you	PP	you
’re	VBP	be
less	RBR	less
likely	JJ	likely
to	TO	to
go	VB	go
and	CC	and
get	VB	get
things	NNS	thing
checked	VBN	check
,	,	,
or	CC	or
even	RB	even
to	TO	to
notice	VB	notice
when	WRB	when
something	NN	something
’s	VBZ	be
wrong	JJ	wrong
.	SENT	.
So	IN	so
part	NN	part
of	IN	of
what	WP	what
we	PP	we
’re	VBP	be
doing	VBG	do
here	RB	here
is	VBZ	be
not	RB	not
just	RB	just
telling	VBG	tell
our	PP$	our
stories	NNS	story
about	IN	about
cancer	NN	cancer
and	CC	and
treatment	NN	treatment
,	,	,
but	CC	but
also	RB	also
,	,	,
in	IN	in
a	DT	a
way	NN	way
,	,	,
demonstrating	VBG	demonstrate
that	IN	that
you	PP	you
can	MD	can
talk	VB	talk
about	IN	about
these	DT	these
things	NNS	thing
plainly	RB	plainly
,	,	,
and	CC	and
that	IN	that
it	PP	it
’s	VBZ	be
important	JJ	important
to	TO	to
do	VB	do
so	RB	so
.	SENT	.
It	PP	it
ties	VBZ	tie
in	IN	in
with	IN	with
what	WP	what
The	DT	the
Eve	NP	Eve
Appeal	NN	appeal
is	VBZ	be
trying	VBG	try
to	TO	to
get	VB	get
across	IN	across
:	:	:
that	IN	that
knowing	VBG	know
your	PP$	your
own	JJ	own
body	NN	body
,	,	,
and	CC	and
having	VBG	have
the	DT	the
language	NN	language
to	TO	to
describe	VB	describe
it	PP	it
,	,	,
is	VBZ	be
actually	RB	actually
a	DT	a
matter	NN	matter
of	IN	of
health	NN	health
,	,	,
not	RB	not
just	RB	just
embarrassment	NN	embarrassment
or	CC	or
prudishness	NN	prudishness
.	SENT	.
They	PP	they
put	VBD	put
out	RP	out
this	DT	this
press	NN	press
release	NN	release
about	IN	about
all	DT	all
of	IN	of
that	DT	that
–	:	-
about	RB	about
younger	JJR	young
women	NNS	woman
,	,	,
and	CC	and
about	RB	about
the	DT	the
lack	NN	lack
of	IN	of
knowledge	NN	knowledge
and	CC	and
the	DT	the
terminology	NN	terminology
–	:	-
and	CC	and
it	PP	it
was	VBD	be
quite	RB	quite
striking	JJ	striking
.	SENT	.
I	PP	I
wondered	VBD	wonder
,	,	,
when	WRB	when
you	PP	you
read	VBP	read
The	DT	the
Eve	NP	Eve
Appeal	NN	appeal
’s	POS	's
press	NN	press
release	NN	release
on	IN	on
this	DT	this
issue	NN	issue
,	,	,
what	WP	what
did	VBD	do
you	PP	you
feel	VBP	feel
?	SENT	?
