well	RB	well
it	PP	it
it	PP	it
just	RB	just
depends	VBZ	depend
when	WRB	when
the	DT	the
work	NN	work
comes	VBZ	come
in	IN	in
really	RB	really
,	,	,
it	PP	it
’s	VBZ	be
not	RB	not
like	IN	like
a	DT	a
steady	JJ	steady
stream	NN	stream
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
In	IN	in
the	DT	the
water	NN	water
industry	NN	industry
they	PP	they
work	VBP	work
on	IN	on
this	DT	this
sort	NN	sort
of	IN	of
four‑year	JJ	<unknown>
cycle	NN	cycle
,	,	,
so	RB	so
you	PP	you
’ll	RB	<unknown>
have	VBP	have
a	DT	a
spell	NN	spell
where	WRB	where
it	PP	it
’s	VBZ	be
all	RB	all
planning	VBG	plan
and	CC	and
sorting	VBG	sort
things	NNS	thing
out	RP	out
,	,	,
then	RB	then
there	EX	there
’s	VBZ	be
the	DT	the
tendering	VBG	tender
bit	NN	bit
,	,	,
then	RB	then
everybody	NN	everybody
’s	POS	's
buying	NN	buying
and	CC	and
it	PP	it
’s	VBZ	be
all	DT	all
go	NN	go
,	,	,
and	CC	and
then	RB	then
they	PP	they
pull	VBP	pull
back	RB	back
again	RB	again
and	CC	and
there	EX	there
are	VBP	be
cutbacks	NNS	cutback
and	CC	and
it	PP	it
all	RB	all
goes	VBZ	go
quiet	JJ	quiet
.	SENT	.
and	CC	and
what	WP	what
happened	VBD	happen
was	VBD	be
,	,	,
in	IN	in
one	CD	one
of	IN	of
those	DT	those
quiet	JJ	quiet
patches	NNS	patch
they	PP	they
let	VBP	let
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
go	VBP	go
,	,	,
because	IN	because
there	EX	there
just	RB	just
was	VBD	be
n’t	RB	n't
the	DT	the
work	NN	work
to	TO	to
keep	VB	keep
them	PP	them
on	RP	on
.	SENT	.
so	RB	so
at	IN	at
that	DT	that
point	NN	point
there	EX	there
was	VBD	be
n’t	RB	n't
much	JJ	much
travel	NN	travel
,	,	,
not	RB	not
many	JJ	many
jobs	NNS	job
,	,	,
everything	NN	everything
kind	NN	kind
of	IN	of
shrank	VBD	shrink
back	RB	back
.	SENT	.
but	CC	but
now	RB	now
a	DT	a
load	NN	load
of	IN	of
new	JJ	new
jobs	NNS	job
have	VBP	have
come	VBN	come
in	IN	in
again	RB	again
,	,	,
and	CC	and
the	DT	the
work	NN	work
’s	VBZ	be
there	RB	there
,	,	,
but	CC	but
of	IN	of
course	NN	course
the	DT	the
staff	NN	staff
are	VBP	be
n’t	RB	n't
,	,	,
because	IN	because
they	PP	they
’ve	VBP	have
already	RB	already
been	VBN	be
got	VBN	get
rid	VBN	rid
of	IN	of
.	SENT	.
so	RB	so
you	PP	you
’ve	VBP	have
ended	VBN	end
up	RP	up
with	IN	with
this	DT	this
daft	JJ	daft
situation	NN	situation
where	WRB	where
there	EX	there
’s	VBZ	be
nobody	NN	nobody
left	VBN	leave
to	TO	to
send	VB	send
,	,	,
and	CC	and
the	DT	the
managing	VBG	manage
director	NN	director
’s	VBZ	be
the	DT	the
one	PP	one
having	VBG	have
to	TO	to
go	VB	go
and	CC	and
do	VB	do
things	NNS	thing
like	IN	like
offloading	VBG	offload
pipes	NNS	pipe
and	CC	and
all	PDT	all
that	DT	that
sort	NN	sort
of	IN	of
thing	NN	thing
,	,	,
which	WDT	which
he	PP	he
really	RB	really
would	MD	would
n’t	RB	n't
normally	RB	normally
be	VB	be
doing	VBG	do
.	SENT	.
that	DT	that
’s	VBZ	be
the	DT	the
sort	NN	sort
of	IN	of
job	NN	job
you	PP	you
’d	MD	will
expect	VB	expect
the	DT	the
lads	NNS	lad
to	TO	to
be	VB	be
doing	VBG	do
,	,	,
not	RB	not
the	DT	the
MD	NP	Md
,	,	,
but	CC	but
because	IN	because
of	IN	of
the	DT	the
way	NN	way
that	IN	that
four‑year	JJ	<unknown>
cycle	NN	cycle
’s	VBZ	be
gone	VBN	go
,	,	,
they	PP	they
’ve	VBP	have
trimmed	VBN	trim
right	RB	right
down	RB	down
,	,	,
and	CC	and
now	RB	now
there	EX	there
’s	VBZ	be
all	PDT	all
this	DT	this
work	NN	work
and	CC	and
no	DT	no
one	CD	one
left	VBN	leave
in	IN	in
place	NN	place
to	TO	to
actually	RB	actually
do	VB	do
it	PP	it
,	,	,
so	RB	so
he	PP	he
’s	VBZ	be
picking	VBG	pick
it	PP	it
up	IN	up
himself	PP	himself
.	SENT	.
