oh	UH	oh
it	PP	it
is	VBZ	be
nice	JJ	nice
,	,	,
is	VBZ	be
n’t	RB	n't
it	PP	it
,	,	,
I	PP	I
’m	NN	<unknown>
glad	NN	glad
you	PP	you
like	VBP	like
it	PP	it
.	SENT	.
I	PP	I
have	VBP	have
this	DT	this
every	DT	every
single	JJ	single
day	NN	day
,	,	,
you	PP	you
know	VBP	know
,	,	,
and	CC	and
I	PP	I
’m	NN	<unknown>
quite	RB	quite
sure	JJ	sure
it	PP	it
’s	VBZ	be
terribly	RB	terribly
good	JJ	good
for	IN	for
me	PP	me
.	SENT	.
It	PP	it
’s	VBZ	be
really	RB	really
just	RB	just
pickled	VBN	pickle
vegetables	NNS	vegetable
,	,	,
whatever	WDT	whatever
I	PP	I
’ve	VBP	have
got	VBN	get
to	TO	to
hand	NN	hand
,	,	,
whatever	WDT	whatever
happens	VBZ	happen
to	TO	to
be	VB	be
around	RB	around
goes	VBZ	go
in	IN	in
.	SENT	.
Anyway	RB	anyway
,	,	,
what	WP	what
I	PP	I
was	VBD	be
thinking	VBG	think
of	IN	of
before	RB	before
,	,	,
those	DT	those
images	NNS	image
I	PP	I
remember	VBP	remember
of	IN	of
sheaves	NNS	sheave
of	IN	of
corn	NN	corn
,	,	,
all	RB	all
bound	VBN	bind
together	RB	together
,	,	,
and	CC	and
how	WRB	how
that	DT	that
must	MD	must
have	VB	have
influenced	VBN	influence
the	DT	the
way	NN	way
people	NNS	people
first	RB	first
thought	VBD	think
of	IN	of
making	VBG	make
dwellings	NNS	dwelling
,	,	,
those	DT	those
early	JJ	early
constructions	NNS	construction
.	SENT	.
And	CC	and
Jacquetta	NP	Jacquetta
Hawkes	NP	Hawkes
,	,	,
that	DT	that
famous	JJ	famous
archaeology	NN	archaeology
book	NN	book
of	IN	of
hers	PP	hers
,	,	,
I	PP	I
gave	VBD	give
it	PP	it
to	TO	to
my	PP$	my
father	NN	father
one	CD	one
Christmas	NP	Christmas
,	,	,
sometime	RB	sometime
in	IN	in
the	DT	the
fifties	NNS	fifty
…	NN	<unknown>
I	PP	I
ca	MD	ca
n’t	RB	n't
for	IN	for
the	DT	the
life	NN	life
of	IN	of
me	PP	me
remember	VBP	remember
what	WP	what
it	PP	it
was	VBD	be
called	VBN	call
.	SENT	.
