what	WP	what
he	PP	he
does	VBZ	do
when	WRB	when
he	PP	he
finds	VBZ	find
a	DT	a
rotten	JJ	rotten
bit	NN	bit
,	,	,
he	PP	he
does	VBZ	do
n’t	RB	n't
just	RB	just
bodge	VB	bodge
it	PP	it
,	,	,
he	PP	he
does	VBZ	do
it	PP	it
properly	RB	properly
.	SENT	.
He	PP	he
’ll	RB	<unknown>
start	VBP	start
off	RP	off
by	IN	by
making	VBG	make
a	DT	a
pattern	NN	pattern
out	RP	out
of	IN	of
really	RB	really
heavy	JJ	heavy
card	NN	card
,	,	,
you	PP	you
know	VBP	know
,	,	,
so	RB	so
it	PP	it
holds	VBZ	hold
its	PP$	its
shape	NN	shape
.	SENT	.
He	PP	he
cuts	VBZ	cut
that	IN	that
to	TO	to
the	DT	the
exact	JJ	exact
size	NN	size
he	PP	he
needs	VBZ	need
and	CC	and
then	RB	then
lays	VBZ	lay
it	PP	it
over	IN	over
the	DT	the
rusty	JJ	rusty
section	NN	section
and	CC	and
marks	VBZ	mark
all	PDT	all
the	DT	the
way	NN	way
round	IN	around
it	PP	it
.	SENT	.
Then	RB	then
he	PP	he
gets	VBZ	get
his	PP$	his
plasma	NN	plasma
cutter	NN	cutter
out	RB	out
,	,	,
and	CC	and
he	PP	he
does	VBZ	do
n’t	RB	n't
freehand	RB	freehand
it	PP	it
,	,	,
he	PP	he
clamps	VBZ	clamp
a	DT	a
nice	JJ	nice
straight	JJ	straight
bit	NN	bit
of	IN	of
metal	NN	metal
along	IN	along
the	DT	the
line	NN	line
so	IN	so
he	PP	he
can	MD	can
run	VB	run
the	DT	the
cutter	NN	cutter
against	IN	against
that	WDT	that
and	CC	and
get	VB	get
a	DT	a
perfectly	RB	perfectly
straight	JJ	straight
edge	NN	edge
as	IN	as
he	PP	he
takes	VBZ	take
the	DT	the
rusty	JJ	rusty
section	NN	section
out	RB	out
.	SENT	.
Once	RB	once
that	DT	that
’s	VBZ	be
gone	VBN	go
,	,	,
he	PP	he
uses	VBZ	use
the	DT	the
card	NN	card
pattern	NN	pattern
to	TO	to
cut	VB	cut
a	DT	a
new	JJ	new
piece	NN	piece
of	IN	of
metal	NN	metal
exactly	RB	exactly
the	DT	the
same	JJ	same
shape	NN	shape
,	,	,
offers	VBZ	offer
it	PP	it
up	RP	up
,	,	,
rests	VBZ	rest
it	PP	it
in	IN	in
place	NN	place
and	CC	and
then	RB	then
just	RB	just
goes	VBZ	go
round	VB	round
the	DT	the
holes	NNS	hole
,	,	,
tacking	VBG	tack
it	PP	it
all	PDT	all
the	DT	the
way	NN	way
round	NN	round
.	SENT	.
