well	RB	well
I	PP	I
know	VBP	know
they	PP	they
're	VBP	be
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
go	NN	go
at	IN	at
me	PP	me
about	IN	about
it	PP	it
,	,	,
that	WDT	that
’s	VBZ	be
a	DT	a
given	VBN	give
,	,	,
but	CC	but
I	PP	I
’m	NN	<unknown>
not	RB	not
really	RB	really
bothered	VBN	bother
in	IN	in
that	DT	that
sense	NN	sense
,	,	,
because	IN	because
I	PP	I
can	MD	can
just	RB	just
sit	VB	sit
them	PP	them
down	RP	down
and	CC	and
say	VB	say
look	NN	look
,	,	,
this	DT	this
is	VBZ	be
why	WRB	why
I	PP	I
’m	NN	<unknown>
changing	VBG	change
direction	NN	direction
.	SENT	.
I	PP	I
can	MD	can
explain	VB	explain
that	IN	that
I	PP	I
’m	NN	<unknown>
in	IN	in
this	DT	this
sort	NN	sort
of	IN	of
in‑between	NN	<unknown>
phase	NN	phase
at	IN	at
the	DT	the
moment	NN	moment
,	,	,
where	WRB	where
I	PP	I
’m	NN	<unknown>
moving	VBG	move
away	RB	away
from	IN	from
what	WP	what
I	PP	I
was	VBD	be
doing	VBG	do
and	CC	and
edging	VBG	edge
towards	IN	towards
creating	VBG	create
something	NN	something
different	JJ	different
.	SENT	.
It	PP	it
’s	VBZ	be
not	RB	not
that	IN	that
I	PP	I
’m	NN	<unknown>
claiming	VBG	claim
to	TO	to
have	VB	have
invented	VBN	invent
something	NN	something
totally	RB	totally
original	JJ	original
,	,	,
it	PP	it
’s	VBZ	be
that	IN	that
for	IN	for
me	PP	me
it	PP	it
’s	VBZ	be
new	JJ	new
,	,	,
and	CC	and
I	PP	I
’m	NN	<unknown>
learning	VBG	learn
a	DT	a
whole	JJ	whole
load	NN	load
of	IN	of
things	NNS	thing
I	PP	I
did	VBD	do
n’t	RB	n't
know	VB	know
before	RB	before
.	SENT	.
I	PP	I
’d	MD	will
talk	VB	talk
them	PP	them
through	IN	through
that	DT	that
:	:	:
that	IN	that
I	PP	I
’m	NN	<unknown>
deliberately	RB	deliberately
going	VBG	go
out	RP	out
and	CC	and
learning	VBG	learn
from	IN	from
people	NNS	people
who	WP	who
are	VBP	be
already	RB	already
doing	VBG	do
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
doing	VBG	do
.	SENT	.
I	PP	I
’m	NN	<unknown>
watching	VBG	watch
what	WP	what
they	PP	they
do	VBP	do
,	,	,
listening	VBG	listen
to	TO	to
how	WRB	how
they	PP	they
talk	VBP	talk
about	IN	about
it	PP	it
,	,	,
and	CC	and
trying	VBG	try
to	TO	to
pick	VB	pick
up	RP	up
as	RB	as
much	RB	much
as	IN	as
I	PP	I
can	MD	can
from	IN	from
them	PP	them
.	SENT	.
That	DT	that
’s	VBZ	be
a	DT	a
big	JJ	big
part	NN	part
of	IN	of
it	PP	it
for	IN	for
me	PP	me
,	,	,
that	DT	that
sense	NN	sense
of	IN	of
actually	RB	actually
studying	VBG	study
people	NNS	people
who	WP	who
are	VBP	be
already	RB	already
there	RB	there
rather	RB	rather
than	IN	than
just	RB	just
sitting	VBG	sit
around	IN	around
talking	VBG	talk
about	IN	about
what	WP	what
I	PP	I
might	MD	might
do	VB	do
one	CD	one
day	NN	day
.	SENT	.
And	CC	and
I	PP	I
’d	MD	will
say	VB	say
to	TO	to
them	PP	them
that	IN	that
in	IN	in
this	DT	this
kind	NN	kind
of	IN	of
entrepreneurial	JJ	entrepreneurial
stuff	NN	stuff
there	EX	there
are	VBP	be
these	DT	these
common	JJ	common
themes	NNS	theme
that	WDT	that
run	VBP	run
through	IN	through
everyone	NN	everyone
’s	POS	's
story	NN	story
–	:	-
you	PP	you
know	VBP	know
,	,	,
taking	VBG	take
a	DT	a
risk	NN	risk
,	,	,
changing	VBG	change
tack	NN	tack
,	,	,
learning	VBG	learn
on	IN	on
the	DT	the
job	NN	job
–	:	-
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
everyone	NN	everyone
’s	POS	's
path	NN	path
is	VBZ	be
quite	RB	quite
individual	JJ	individual
.	SENT	.
So	IN	so
I	PP	I
’m	NN	<unknown>
not	RB	not
trying	VBG	try
to	TO	to
copy	VB	copy
someone	NN	someone
else	RB	else
’s	POS	's
life	NN	life
,	,	,
I	PP	I
’m	NN	<unknown>
trying	VBG	try
to	TO	to
understand	VB	understand
the	DT	the
patterns	NNS	pattern
and	CC	and
then	RB	then
find	VB	find
my	PP$	my
own	JJ	own
route	NN	route
through	IN	through
it	PP	it
.	SENT	.
Even	RB	even
if	IN	if
they	PP	they
do	VBP	do
n’t	RB	n't
really	RB	really
get	VB	get
where	WRB	where
I	PP	I
’m	NN	<unknown>
coming	VBG	come
from	IN	from
,	,	,
or	CC	or
they	PP	they
ca	MD	ca
n’t	RB	n't
see	VB	see
the	DT	the
bigger	JJR	big
picture	NN	picture
I	PP	I
’ve	VBP	have
got	VBN	get
in	IN	in
my	PP$	my
head	NN	head
,	,	,
there	EX	there
’s	VBZ	be
still	RB	still
value	NN	value
in	IN	in
what	WP	what
I	PP	I
’m	NN	<unknown>
doing	VBG	do
.	SENT	.
I	PP	I
’d	MD	will
stress	VB	stress
that	DT	that
.	SENT	.
I	PP	I
’m	NN	<unknown>
learning	VBG	learn
from	IN	from
other	JJ	other
people	NNS	people
who	WP	who
are	VBP	be
doing	VBG	do
it	PP	it
already	RB	already
,	,	,
and	CC	and
that	IN	that
in	IN	in
itself	PP	itself
is	VBZ	be
worthwhile	JJ	worthwhile
.	SENT	.
They	PP	they
might	MD	might
roll	VB	roll
their	PP$	their
eyes	NNS	eye
or	CC	or
think	VBP	think
I	PP	I
’ve	VBP	have
gone	VBN	go
a	DT	a
bit	NN	bit
mad	JJ	mad
,	,	,
but	CC	but
I	PP	I
can	MD	can
at	IN	at
least	JJS	least
lay	VB	lay
out	RP	out
the	DT	the
logic	NN	logic
:	:	:
I	CD	@card@
’m	NN	<unknown>
changing	VBG	change
direction	NN	direction
,	,	,
I	PP	I
’m	NN	<unknown>
in	IN	in
a	DT	a
transition	NN	transition
,	,	,
I	PP	I
’m	NN	<unknown>
learning	VBG	learn
from	IN	from
people	NNS	people
ahead	RB	ahead
of	IN	of
me	PP	me
,	,	,
and	CC	and
I	PP	I
’m	NN	<unknown>
trying	VBG	try
to	TO	to
build	VB	build
something	NN	something
different	JJ	different
for	IN	for
myself	PP	myself
.	SENT	.
Whether	IN	whether
they	PP	they
fully	RB	fully
understand	VBP	understand
it	PP	it
or	CC	or
not	RB	not
,	,	,
that	WDT	that
’s	VBZ	be
what	WP	what
I	PP	I
’ll	RB	<unknown>
be	VB	be
doing	VBG	do
.	SENT	.
