yeah	RB	yeah
I	PP	I
mean	VBP	mean
I	PP	I
used	VBD	use
to	TO	to
do	VB	do
that	DT	that
thing	NN	thing
of	IN	of
drinking	NN	drinking
on	IN	on
my	PP$	my
own	JJ	own
,	,	,
just	RB	just
to	TO	to
get	VB	get
drunk	JJ	drunk
,	,	,
and	CC	and
it	PP	it
was	VBD	be
absolutely	RB	absolutely
miserable	JJ	miserable
really	RB	really
,	,	,
very	RB	very
insular	JJ	insular
,	,	,
you	PP	you
shut	VBD	shut
yourself	PP	yourself
off	RP	off
from	IN	from
everyone	NN	everyone
and	CC	and
everything	NN	everything
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
do	VB	do
that	IN	that
now	RB	now
,	,	,
I	PP	I
’ve	VBP	have
stopped	VBN	stop
that	DT	that
side	NN	side
of	IN	of
it	PP	it
,	,	,
and	CC	and
these	DT	these
days	NNS	day
I	PP	I
only	RB	only
very	RB	very
rarely	RB	rarely
get	VB	get
really	RB	really
drunk	JJ	drunk
,	,	,
you	PP	you
know	VBP	know
,	,	,
properly	RB	properly
out	RB	out
of	IN	of
it	PP	it
.	SENT	.
I	PP	I
do	VBP	do
think	VB	think
there	EX	there
’s	VBZ	be
something	NN	something
in	IN	in
what	WP	what
you	PP	you
were	VBD	be
saying	VBG	say
about	IN	about
it	PP	it
being	VBG	be
in	IN	in
your	PP$	your
DNA	NN	DNA
–	:	-
some	DT	some
people	NNS	people
clearly	RB	clearly
are	VBP	be
more	RBR	more
prone	JJ	prone
to	TO	to
it	PP	it
than	IN	than
others	NNS	other
,	,	,
you	PP	you
can	MD	can
see	VB	see
that	IN	that
in	IN	in
families	NNS	family
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
But	CC	but
I	PP	I
do	VBP	do
n’t	RB	n't
think	VB	think
it	PP	it
’s	VBZ	be
just	RB	just
that	RB	that
,	,	,
I	PP	I
ca	MD	ca
n’t	RB	n't
believe	VB	believe
it	PP	it
’s	VBZ	be
only	RB	only
genetic	JJ	genetic
.	SENT	.
There	EX	there
are	VBP	be
all	RB	all
the	DT	the
psychological	JJ	psychological
reasons	NNS	reason
wrapped	VBD	wrap
round	VB	round
it	PP	it
as	IN	as
well	RB	well
,	,	,
why	WRB	why
people	NNS	people
pick	VB	pick
up	RP	up
a	DT	a
drink	NN	drink
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
and	CC	and
then	RB	then
keep	VB	keep
going	VBG	go
back	RB	back
to	TO	to
it	PP	it
.	SENT	.
So	CC	so
yes	UH	yes
,	,	,
there	EX	there
’s	VBZ	be
that	DT	that
genetic	JJ	genetic
tendency	NN	tendency
,	,	,
but	CC	but
there	EX	there
’s	VBZ	be
also	RB	also
what	WP	what
’s	VBZ	be
going	VBG	go
on	IN	on
in	IN	in
your	PP$	your
head	NN	head
,	,	,
in	IN	in
your	PP$	your
life	NN	life
,	,	,
the	DT	the
way	NN	way
you	PP	you
feel	VBP	feel
about	IN	about
yourself	PP	yourself
.	SENT	.
It	PP	it
’s	VBZ	be
not	RB	not
just	RB	just
one	CD	one
thing	NN	thing
,	,	,
is	VBZ	be
it	PP	it
,	,	,
it	PP	it
’s	VBZ	be
a	DT	a
mixture	NN	mixture
of	IN	of
things	NNS	thing
that	WDT	that
push	VBP	push
you	PP	you
into	IN	into
that	DT	that
pattern	NN	pattern
of	IN	of
drinking	NN	drinking
,	,	,
and	CC	and
keep	VB	keep
you	PP	you
there	RB	there
,	,	,
until	IN	until
you	PP	you
decide	VBP	decide
you	PP	you
’ve	VBP	have
had	VBN	have
enough	RB	enough
of	IN	of
being	VBG	be
that	DT	that
miserable	JJ	miserable
,	,	,
shut‑in	NN	<unknown>
drunk	NN	drunk
.	SENT	.
