well	RB	well
over	IN	over
that	DT	that
eighteen	CD	eighteen
months	NNS	month
or	CC	or
so	RB	so
I	PP	I
was	VBD	be
back	RB	back
and	CC	and
forth	RB	forth
to	TO	to
the	DT	the
GP	NN	GP
a	DT	a
lot	NN	lot
because	IN	because
of	IN	of
this	DT	this
persistent	JJ	persistent
spotting	VBG	spot
and	CC	and
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
was	VBD	be
putting	VBG	put
on	IN	on
weight	NN	weight
.	SENT	.
I	PP	I
kept	VBD	keep
saying	VBG	say
,	,	,
“	``	"
I	PP	I
’m	NN	<unknown>
still	RB	still
bleeding	VBG	bleed
,	,	,
this	DT	this
is	VBZ	be
still	RB	still
going	VBG	go
on	IN	on
,	,	,
”	''	"
and	CC	and
it	PP	it
just	RB	just
carried	VBD	carry
on	RP	on
and	CC	and
on	RP	on
.	SENT	.
In	IN	in
that	DT	that
time	NN	time
they	PP	they
did	VBD	do
pick	VB	pick
up	RP	up
that	IN	that
I	PP	I
had	VBD	have
an	DT	an
underactive	JJ	underactive
thyroid	NN	thyroid
and	CC	and
high	JJ	high
blood	NN	blood
pressure	NN	pressure
,	,	,
so	RB	so
I	PP	I
was	VBD	be
diagnosed	VBN	diagnose
and	CC	and
treated	VBN	treat
for	IN	for
both	DT	both
of	IN	of
those	DT	those
.	SENT	.
The	DT	the
thyroid	NN	thyroid
in	IN	in
particular	JJ	particular
became	VBD	become
the	DT	the
sort	NN	sort
of	IN	of
explanation	NN	explanation
for	IN	for
everything	NN	everything
.	SENT	.
Each	DT	each
time	NN	time
I	PP	I
went	VBD	go
I	PP	I
would	MD	would
say	VB	say
that	IN	that
the	DT	the
bleeding	NN	bleeding
had	VBD	have
n’t	RB	n't
stopped	VBN	stop
,	,	,
that	IN	that
I	PP	I
was	VBD	be
still	RB	still
spotting	VBG	spot
,	,	,
and	CC	and
it	PP	it
was	VBD	be
becoming	VBG	become
a	DT	a
constant	JJ	constant
thing	NN	thing
rather	RB	rather
than	IN	than
something	NN	something
that	WDT	that
came	VBD	come
and	CC	and
went	VBD	go
.	SENT	.
But	CC	but
the	DT	the
doctor	NN	doctor
kept	VBD	keep
attributing	VBG	attribute
the	DT	the
bleeding	NN	bleeding
to	TO	to
the	DT	the
thyroid	JJ	thyroid
problem	NN	problem
,	,	,
as	RB	as
if	IN	if
that	DT	that
neatly	RB	neatly
wrapped	VBN	wrap
it	PP	it
all	DT	all
up	RP	up
.	SENT	.
I	PP	I
was	VBD	be
being	VBG	be
medicated	VBN	medicate
for	IN	for
the	DT	the
thyroid	NN	thyroid
and	CC	and
the	DT	the
blood	NN	blood
pressure	NN	pressure
,	,	,
and	CC	and
there	EX	there
was	VBD	be
this	DT	this
sense	NN	sense
that	IN	that
once	RB	once
those	DT	those
were	VBD	be
under	IN	under
control	NN	control
everything	NN	everything
else	RB	else
would	MD	would
sort	VB	sort
itself	PP	itself
out	RP	out
,	,	,
even	RB	even
though	IN	though
I	PP	I
was	VBD	be
saying	VBG	say
quite	RB	quite
clearly	RB	clearly
that	IN	that
the	DT	the
bleeding	NN	bleeding
was	VBD	be
continuing	VBG	continue
.	SENT	.
This	DT	this
went	VBD	go
on	RP	on
for	IN	for
about	RB	about
eighteen	CD	eighteen
months	NNS	month
.	SENT	.
It	PP	it
was	VBD	be
n’t	RB	n't
as	RB	as
if	IN	if
I	PP	I
went	VBD	go
once	RB	once
or	CC	or
twice	RB	twice
;	:	;
I	PP	I
was	VBD	be
repeatedly	RB	repeatedly
going	VBG	go
back	RB	back
,	,	,
reporting	VBG	report
the	DT	the
same	JJ	same
symptoms	NNS	symptom
,	,	,
and	CC	and
it	PP	it
was	VBD	be
still	RB	still
put	VBN	put
down	RP	down
to	TO	to
the	DT	the
thyroid	NN	thyroid
.	SENT	.
The	DT	the
weight	NN	weight
gain	NN	gain
and	CC	and
the	DT	the
tiredness	NN	tiredness
fitted	VBD	fit
that	DT	that
picture	NN	picture
,	,	,
so	RB	so
the	DT	the
bleeding	NN	bleeding
was	VBD	be
just	RB	just
folded	VBN	fold
into	IN	into
it	PP	it
.	SENT	.
Eventually	RB	eventually
,	,	,
though	RB	though
,	,	,
I	PP	I
was	VBD	be
referred	VBN	refer
to	TO	to
a	DT	a
gynaecologist	NN	gynaecologist
.	SENT	.
Once	RB	once
I	PP	I
got	VBD	get
to	TO	to
the	DT	the
gynaecologist	NN	gynaecologist
things	NNS	thing
moved	VBD	move
very	RB	very
quickly	RB	quickly
.	SENT	.
He	PP	he
did	VBD	do
a	DT	a
very	RB	very
simple	JJ	simple
procedure	NN	procedure
–	:	-
just	RB	just
a	DT	a
scrape	NN	scrape
of	IN	of
the	DT	the
lining	NN	lining
of	IN	of
the	DT	the
womb	NN	womb
–	:	-
nothing	NN	nothing
elaborate	VB	elaborate
,	,	,
something	NN	something
that	WDT	that
was	VBD	be
low-cost	JJ	low-cost
and	CC	and
straightforward	JJ	straightforward
.	SENT	.
There	EX	there
was	VBD	be
no	DT	no
big	JJ	big
build-up	NN	build-up
to	TO	to
it	PP	it
,	,	,
it	PP	it
was	VBD	be
just	RB	just
done	VBN	do
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
course	NN	course
.	SENT	.
On	IN	on
the	DT	the
strength	NN	strength
of	IN	of
that	DT	that
little	JJ	little
scrape	NN	scrape
,	,	,
I	PP	I
was	VBD	be
called	VBN	call
back	RB	back
to	TO	to
the	DT	the
hospital	NN	hospital
the	DT	the
same	JJ	same
day	NN	day
.	SENT	.
That	DT	that
was	VBD	be
when	WRB	when
they	PP	they
told	VBD	tell
me	PP	me
it	PP	it
was	VBD	be
endometrial	JJ	endometrial
cancer	NN	cancer
.	SENT	.
So	RB	so
after	IN	after
all	PDT	all
those	DT	those
months	NNS	month
of	IN	of
being	VBG	be
told	VBN	tell
it	PP	it
was	VBD	be
the	DT	the
thyroid	NN	thyroid
and	CC	and
