When	WRB	when
I	PP	I
was	VBD	be
about	RB	about
thirty	CD	thirty
,	,	,
our	PP$	our
next-door	JJ	next-door
neighbour	NN	neighbour
had	VBD	have
this	DT	this
long	JJ	long
history	NN	history
of	IN	of
symptoms	NNS	symptom
.	SENT	.
She	PP	she
was	VBD	be
very	RB	very
highly	RB	highly
strung	VBN	string
,	,	,
very	RB	very
anxious	JJ	anxious
,	,	,
had	VBD	have
OCD	NNS	<unknown>
,	,	,
and	CC	and
the	DT	the
doctors	NNS	doctor
just	RB	just
wrote	VBD	write
her	PP	her
off	RP	off
for	IN	for
years	NNS	year
as	IN	as
hysterical	JJ	hysterical
and	CC	and
neurotic	JJ	neurotic
.	SENT	.
All	PDT	all
those	DT	those
symptoms	NNS	symptom
were	VBD	be
interpreted	VBN	interpret
through	IN	through
that	DT	that
lens	NN	lens
.	SENT	.
Eventually	RB	eventually
she	PP	she
was	VBD	be
diagnosed	VBN	diagnose
with	IN	with
stage	NN	stage
four	CD	four
ovarian	JJ	ovarian
cancer	NN	cancer
and	CC	and
by	IN	by
then	RB	then
,	,	,
really	RB	really
,	,	,
she	PP	she
was	VBD	be
done	VBN	do
for	IN	for
.	SENT	.
I	PP	I
find	VBP	find
that	IN	that
absolutely	RB	absolutely
bloody	JJ	bloody
scary	JJ	scary
.	SENT	.
With	IN	with
breast	NN	breast
cancer	NN	cancer
,	,	,
you	PP	you
’re	VBP	be
told	VBN	tell
to	TO	to
look	VB	look
for	IN	for
a	DT	a
lump	NN	lump
;	:	;
with	IN	with
cervical	JJ	cervical
cancer	NN	cancer
,	,	,
you	PP	you
go	VBP	go
for	IN	for
a	DT	a
smear	NN	smear
.	SENT	.
But	CC	but
I	PP	I
’d	MD	will
never	RB	never
even	RB	even
heard	VBN	hear
of	IN	of
vulval	JJ	vulval
or	CC	or
vaginal	JJ	vaginal
cancer	NN	cancer
until	IN	until
recently	RB	recently
,	,	,
let	VB	let
alone	RB	alone
their	PP$	their
symptoms	NNS	symptom
.	SENT	.
And	CC	and
ovarian	JJ	ovarian
symptoms	NNS	symptom
are	VBP	be
so	RB	so
vague	JJ	vague
they	PP	they
’re	VBP	be
easily	RB	easily
dismissed	VBN	dismiss
as	IN	as
IBS	NNS	<unknown>
or	CC	or
“	``	"
your	PP$	your
age	NN	age
”	''	"
instead	RB	instead
of	IN	of
prompting	VBG	prompt
blood	NN	blood
tests	NNS	test
or	CC	or
an	DT	an
ultrasound	NN	ultrasound
.	SENT	.
