No	UH	no
,	,	,
our	PP$	our
clothes	NNS	clothes
were	VBD	be
actually	RB	actually
still	RB	still
there	RB	there
,	,	,
so	IN	so
we	PP	we
just	RB	just
got	VBD	get
dressed	VBN	dress
again	RB	again
.	SENT	.
I	PP	I
remember	VBP	remember
feeling	VBG	feel
really	RB	really
responsible	JJ	responsible
,	,	,
because	IN	because
it	PP	it
was	VBD	be
my	PP$	my
spot	NN	spot
from	IN	from
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
,	,	,
so	RB	so
it	PP	it
felt	VBD	feel
like	IN	like
I	PP	I
’d	VBD	have
led	VBN	lead
everyone	NN	everyone
into	IN	into
this	DT	this
mess	NN	mess
.	SENT	.
We	PP	we
decided	VBD	decide
the	DT	the
only	JJ	only
sensible	JJ	sensible
thing	NN	thing
to	TO	to
do	VB	do
was	VBD	be
go	VB	go
up	RP	up
to	TO	to
this	DT	this
big	JJ	big
hotel	NN	hotel
nearby	RB	nearby
so	RB	so
we	PP	we
could	MD	could
call	VB	call
the	DT	the
police	NN	police
and	CC	and
find	VB	find
out	RP	out
what	WP	what
had	VBD	have
happened	VBN	happen
.	SENT	.
Then	RB	then
these	DT	these
two	CD	two
police	NN	police
officers	NNS	officer
turned	VBD	turn
up	RP	up
,	,	,
and	CC	and
they	PP	they
were	VBD	be
actually	RB	actually
really	RB	really
funny	JJ	funny
about	IN	about
the	DT	the
whole	JJ	whole
thing	NN	thing
,	,	,
which	WDT	which
kind	NN	kind
of	IN	of
broke	RB	broke
the	DT	the
tension	NN	tension
.	SENT	.
