When	WRB	when
I	PP	I
finished	VBD	finish
my	PP$	my
first	JJ	first
degree	NN	degree
,	,	,
my	PP$	my
very	RB	very
last	JJ	last
exam	NN	exam
was	VBD	be
in	IN	in
Quranic	NP	<unknown>
Arabic	NP	Arabic
.	SENT	.
For	IN	for
that	DT	that
,	,	,
and	CC	and
for	IN	for
the	DT	the
course	NN	course
generally	RB	generally
,	,	,
I	PP	I
’d	VBD	have
had	VBN	have
to	TO	to
memorise	VB	memorise
an	DT	an
extraordinary	JJ	extraordinary
number	NN	number
of	IN	of
languages	NNS	language
and	CC	and
dialects	NNS	dialect
,	,	,
and	CC	and
I	PP	I
did	VBD	do
,	,	,
quite	RB	quite
successfully	RB	successfully
.	SENT	.
But	CC	but
immediately	RB	immediately
after	IN	after
that	DT	that
exam	NN	exam
I	PP	I
went	VBD	go
into	IN	into
the	DT	the
common	JJ	common
room	NN	room
,	,	,
picked	VBD	pick
up	RP	up
The	DT	the
Times	NP	Times
,	,	,
and	CC	and
found	VBD	find
myself	PP	myself
automatically	RB	automatically
memorising	VBG	memorise
the	DT	the
articles	NNS	article
,	,	,
line	NN	line
after	IN	after
line	NN	line
,	,	,
without	IN	without
intending	VBG	intend
to	TO	to
.	SENT	.
It	PP	it
was	VBD	be
as	RB	as
if	IN	if
the	DT	the
memorisation	NN	memorisation
mechanism	NN	mechanism
just	RB	just
kept	VBD	keep
running	VBG	run
on	IN	on
its	PP$	its
own	JJ	own
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
moment	NN	moment
I	PP	I
thought	VBD	think
,	,	,
“	``	"
this	DT	this
is	VBZ	be
not	RB	not
right	JJ	right
,	,	,
something	NN	something
’s	VBZ	be
gone	VBN	go
wrong	RB	wrong
here	RB	here
.	SENT	.
”	''	"
