there	EX	there
's	VBZ	be
this	DT	this
version	NN	version
of	IN	of
Risk	NP	Risk
called	VBD	call
Risk	NP	Risk
Legacy	NP	Legacy
that	IN	that
I	PP	I
got	VBD	get
my	PP$	my
dad	NN	dad
for	IN	for
Christmas	NP	Christmas
,	,	,
I	PP	I
think	VBP	think
it	PP	it
was	VBD	be
about	RB	about
a	DT	a
year	NN	year
ago	RB	ago
.	SENT	.
It	PP	it
’s	VBZ	be
a	DT	a
bit	NN	bit
different	JJ	different
to	TO	to
the	DT	the
normal	JJ	normal
one	CD	one
,	,	,
’	''	'
cause	NN	cause
as	IN	as
you	PP	you
conquer	VBP	conquer
territories	NNS	territory
you	PP	you
can	MD	can
actually	RB	actually
name	VB	name
them	PP	them
,	,	,
like	VBP	like
literally	RB	literally
write	VB	write
on	IN	on
the	DT	the
board	NN	board
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
get	VBP	get
these	DT	these
stickers	NNS	sticker
you	PP	you
put	VBD	put
on	IN	on
the	DT	the
board	NN	board
that	WDT	that
change	VBP	change
it	PP	it
for	IN	for
future	JJ	future
games	NNS	game
,	,	,
like	IN	like
adding	VBG	add
extra	JJ	extra
tanks	NNS	tank
and	CC	and
that	DT	that
sort	NN	sort
of	IN	of
thing	NN	thing
.	SENT	.
It	PP	it
’s	VBZ	be
a	DT	a
cool	JJ	cool
idea	NN	idea
,	,	,
but	CC	but
I	PP	I
never	RB	never
really	RB	really
got	VBN	get
into	IN	into
Risk	NP	Risk
myself	PP	myself
,	,	,
so	RB	so
we	PP	we
did	VBD	do
n’t	RB	n't
end	VB	end
up	RP	up
playing	VBG	play
it	PP	it
loads	VBZ	load
.	SENT	.
