'	''	'
s	JJ	<unknown>
mum	NN	mum
really	RB	really
is	VBZ	be
brilliant	JJ	brilliant
at	IN	at
planning	VBG	plan
visits	NNS	visit
and	CC	and
putting	VBG	put
things	NNS	thing
like	IN	like
the	DT	the
wedding	NN	wedding
in	IN	in
her	PP$	her
diary	NN	diary
,	,	,
so	RB	so
she	PP	she
’s	VBZ	be
always	RB	always
got	VBN	get
something	NN	something
to	TO	to
look	VB	look
forward	RB	forward
to	TO	to
.	SENT	.
It	PP	it
seems	VBZ	seem
to	TO	to
keep	VB	keep
her	PP$	her
going	VBG	go
.	SENT	.
My	PP$	my
parents	NNS	parent
are	VBP	be
quite	RB	quite
different	JJ	different
.	SENT	.
My	PP$	my
dad	NN	dad
’s	VBZ	be
largely	RB	largely
immobile	JJ	immobile
now	RB	now
and	CC	and
lives	VBZ	live
downstairs	NN	downstairs
,	,	,
and	CC	and
my	PP$	my
mum	NN	mum
goes	VBZ	go
to	TO	to
Waitrose	NP	<unknown>
every	DT	every
day	NN	day
,	,	,
mostly	RB	mostly
just	RB	just
to	TO	to
get	VB	get
out	RP	out
of	IN	of
the	DT	the
house	NN	house
and	CC	and
away	RB	away
from	IN	from
him	PP	him
for	IN	for
a	DT	a
bit	NN	bit
.	SENT	.
It	PP	it
’s	VBZ	be
less	JJR	less
about	IN	about
the	DT	the
shopping	NN	shopping
and	CC	and
more	RBR	more
about	IN	about
having	VBG	have
somewhere	RB	somewhere
to	TO	to
go	VB	go
and	CC	and
something	NN	something
else	RB	else
to	TO	to
do	VB	do
.	SENT	.
