There	EX	there
really	RB	really
are	VBP	be
published	VBN	publish
resources	NNS	resource
for	IN	for
absolutely	RB	absolutely
everything	NN	everything
nowadays	RB	nowadays
.	SENT	.
When	WRB	when
we	PP	we
moved	VBD	move
schools	NNS	school
they	PP	they
gave	VBD	give
us	PP	us
this	DT	this
big	JJ	big
whiteboard	NN	whiteboard
package	NN	package
that	IN	that
everybody	NN	everybody
raved	VBD	rave
about	RB	about
–	:	-
supposedly	RB	supposedly
wonderful	JJ	wonderful
,	,	,
all	DT	all
singing	NN	singing
and	CC	and
dancing	NN	dancing
,	,	,
came	VBD	come
with	IN	with
lesson	NN	lesson
plans	NNS	plan
and	CC	and
all	PDT	all
the	DT	the
materials	NNS	material
ready-made	NN	ready-made
.	SENT	.
On	IN	on
paper	NN	paper
it	PP	it
sounded	VBD	sound
perfect	JJ	perfect
,	,	,
you	PP	you
know	VBP	know
,	,	,
exactly	RB	exactly
what	WP	what
you	PP	you
’d	MD	will
want	VB	want
:	:	:
you	PP	you
just	RB	just
click	VBP	click
it	PP	it
on	RP	on
,	,	,
follow	VB	follow
the	DT	the
plan	NN	plan
,	,	,
and	CC	and
off	RB	off
you	PP	you
go	VBP	go
.	SENT	.
But	CC	but
in	IN	in
reality	NN	reality
it	PP	it
was	VBD	be
completely	RB	completely
useless	JJ	useless
for	IN	for
our	PP$	our
pupils	NNS	pupil
.	SENT	.
The	DT	the
reading	NN	reading
level	NN	level
of	IN	of
the	DT	the
texts	NNS	text
was	VBD	be
for	IN	for
five-	NN	five-
to	TO	to
six-year-olds	NNS	six-year-old
,	,	,
which	WDT	which
was	VBD	be
technically	RB	technically
where	WRB	where
our	PP$	our
kids	NNS	kid
were	VBD	be
at	IN	at
in	IN	in
terms	NNS	term
of	IN	of
decoding	VBG	decode
.	SENT	.
But	CC	but
the	DT	the
content	NN	content
of	IN	of
those	DT	those
texts	NNS	text
was	VBD	be
aimed	VBN	aim
at	IN	at
that	DT	that
age	NN	age
group	NN	group
too	RB	too
,	,	,
so	RB	so
for	IN	for
fifteen-	NN	<unknown>
to	TO	to
sixteen-year-olds	NNS	<unknown>
it	PP	it
was	VBD	be
totally	RB	totally
inappropriate	JJ	inappropriate
.	SENT	.
You	PP	you
just	RB	just
could	MD	could
n’t	RB	n't
sit	VB	sit
teenagers	NNS	teenager
down	RP	down
and	CC	and
give	VB	give
them	PP	them
that	DT	that
kind	NN	kind
of	IN	of
material	NN	material
with	IN	with
pictures	NNS	picture
and	CC	and
topics	NNS	topic
clearly	RB	clearly
designed	VBN	design
for	IN	for
infants	NNS	infant
.	SENT	.
So	IN	so
this	DT	this
thing	NN	thing
that	WDT	that
was	VBD	be
meant	VBN	mean
to	TO	to
save	VB	save
us	PP	us
time	NN	time
and	CC	and
effort	NN	effort
just	RB	just
did	VBD	do
n’t	RB	n't
work	VB	work
at	IN	at
all	DT	all
with	IN	with
our	PP$	our
classes	NNS	class
.	SENT	.
