Lois	NP	Lois
had	VBD	have
them	PP	them
,	,	,
I	PP	I
do	VBP	do
n’t	RB	n't
think	VB	think
you	PP	you
were	VBD	be
actually	RB	actually
there	RB	there
for	IN	for
those	DT	those
pancakes	NNS	pancake
,	,	,
which	WDT	which
is	VBZ	be
why	WRB	why
you	PP	you
absolutely	RB	absolutely
have	VB	have
to	TO	to
come	VB	come
for	IN	for
pancakes	NNS	pancake
this	DT	this
time	NN	time
.	SENT	.
The	DT	the
first	JJ	first
one	CD	one
I	PP	I
made	VBD	make
was	VBD	be
terrible	JJ	terrible
,	,	,
the	DT	the
pan	NN	pan
was	VBD	be
so	RB	so
hot	JJ	hot
that	IN	that
the	DT	the
plastic	JJ	plastic
spatula	NN	spatula
actually	RB	actually
melted	VBD	melt
on	IN	on
it	PP	it
,	,	,
it	PP	it
was	VBD	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
disaster	NN	disaster
.	SENT	.
But	CC	but
after	IN	after
that	WDT	that
they	PP	they
turned	VBD	turn
out	RP	out
really	RB	really
well	RB	well
,	,	,
proper	JJ	proper
pancakes	NNS	pancake
with	IN	with
lemon	NN	lemon
and	CC	and
sugar	NN	sugar
,	,	,
they	PP	they
were	VBD	be
great	JJ	great
in	IN	in
the	DT	the
end	NN	end
.	SENT	.
Do	VB	do
you	PP	you
prefer	VB	prefer
yours	PP	yours
with	IN	with
chocolate	NN	chocolate
spread	NN	spread
then	RB	then
,	,	,
is	VBZ	be
that	IN	that
what	WP	what
you	PP	you
usually	RB	usually
go	VBP	go
for	IN	for
on	IN	on
pancakes	NNS	pancake
?	SENT	?
