my	PP$	my
timing	NN	timing
has	VBZ	have
just	RB	just
been	VBN	be
absolutely	RB	absolutely
crap	VB	crap
this	DT	this
week	NN	week
.	SENT	.
Like	IN	like
,	,	,
that	DT	that
day	NN	day
with	IN	with
the	DT	the
seminar	NN	seminar
,	,	,
I	PP	I
left	VBD	leave
home	RB	home
just	RB	just
after	IN	after
half	DT	half
six	CD	six
in	IN	in
the	DT	the
morning	NN	morning
,	,	,
feeling	VBG	feel
really	RB	really
organised	VBN	organise
,	,	,
cos	NN	cos
I	PP	I
had	VBD	have
to	TO	to
be	VB	be
there	RB	there
for	IN	for
half	DT	half
eight	CD	eight
and	CC	and
it	PP	it
was	VBD	be
an	DT	an
all-day	JJ	all-day
thing	NN	thing
for	IN	for
work	NN	work
.	SENT	.
Thought	VBD	think
I	PP	I
’d	VBD	have
given	VBN	give
myself	PP	myself
loads	NNS	load
of	IN	of
time	NN	time
.	SENT	.
Then	RB	then
of	IN	of
course	NN	course
there	EX	there
was	VBD	be
that	DT	that
accident	NN	accident
on	IN	on
the	DT	the
A14	NP	A@card@
.	SENT	.
I	PP	I
got	VBD	get
over	IN	over
that	DT	that
way	NN	way
for	IN	for
about	RB	about
eight	CD	eight
o’clock	NN	o’clock
,	,	,
but	CC	but
once	RB	once
you	PP	you
hit	VBD	hit
that	DT	that
stretch	NN	stretch
at	IN	at
that	DT	that
time	NN	time
you	PP	you
’re	VBP	be
basically	RB	basically
stuck	VBN	stick
.	SENT	.
Between	IN	between
about	RB	about
eight	CD	eight
and	CC	and
half	DT	half
nine	CD	nine
you	PP	you
just	RB	just
cannot	MD	can
get	VB	get
through	RP	through
,	,	,
it	PP	it
’s	VBZ	be
like	IN	like
everything	NN	everything
just	RB	just
grinds	VBZ	grind
to	TO	to
a	DT	a
halt	NN	halt
.	SENT	.
I	PP	I
was	VBD	be
actually	RB	actually
in	IN	in
the	DT	the
area	NN	area
by	IN	by
about	RB	about
ten	CD	ten
to	TO	to
eight	CD	eight
,	,	,
which	WDT	which
should	MD	should
’ve	VB	have
been	VBN	be
fine	JJ	fine
,	,	,
but	CC	but
I	PP	I
was	VBD	be
still	RB	still
just	RB	just
crawling	VBG	crawl
along	RP	along
.	SENT	.
Did	VBD	do
n’t	RB	n't
actually	RB	actually
get	VB	get
into	IN	into
work	NN	work
till	IN	till
half	DT	half
eight	CD	eight
in	IN	in
the	DT	the
end	NN	end
,	,	,
so	RB	so
all	PDT	all
that	DT	that
extra	JJ	extra
time	NN	time
I	PP	I
’d	VBD	have
allowed	VBN	allow
just	RB	just
disappeared	VBD	disappear
in	IN	in
traffic	NN	traffic
.	SENT	.
