yes	UH	yes
I	PP	I
did	VBD	do
have	VB	have
your	PP$	your
dark	JJ	dark
chocolate	NN	chocolate
and	CC	and
it	PP	it
was	VBD	be
really	RB	really
nice	JJ	nice
actually	RB	actually
,	,	,
really	RB	really
delicious	JJ	delicious
,	,	,
but	CC	but
I	PP	I
was	VBD	be
quite	RB	quite
careful	JJ	careful
this	DT	this
time	NN	time
.	SENT	.
Instead	RB	instead
of	IN	of
just	RB	just
eating	VBG	eat
loads	NNS	load
of	IN	of
rubbish	NN	rubbish
I	PP	I
decided	VBD	decide
I	PP	I
’d	MD	will
have	VB	have
things	NNS	thing
that	WDT	that
were	VBD	be
a	DT	a
bit	NN	bit
better	RBR	well
for	IN	for
me	PP	me
,	,	,
so	RB	so
I	PP	I
had	VBD	have
dates	NNS	date
and	CC	and
yoghurt	NN	yoghurt
instead	RB	instead
of	IN	of
all	PDT	all
the	DT	the
sugary	JJ	sugary
junk	NN	junk
I	PP	I
’d	MD	will
normally	RB	normally
go	VB	go
for	IN	for
.	SENT	.
And	CC	and
I	PP	I
honestly	RB	honestly
felt	VBD	feel
brilliant	JJ	brilliant
afterwards	RB	afterwards
.	SENT	.
I	PP	I
woke	VBD	wake
up	RP	up
really	RB	really
early	RB	early
,	,	,
I	PP	I
got	VBD	get
loads	NNS	load
done	VBN	do
,	,	,
even	RB	even
managed	VBN	manage
to	TO	to
get	VB	get
to	TO	to
the	DT	the
gym	NN	gym
,	,	,
and	CC	and
I	PP	I
just	RB	just
felt	VBD	feel
so	RB	so
much	RB	much
better	JJR	good
in	IN	in
myself	PP	myself
.	SENT	.
It	PP	it
really	RB	really
made	VBD	make
me	PP	me
realise	VBP	realise
that	DT	that
sugar	NN	sugar
just	RB	just
makes	VBZ	make
me	PP	me
feel	VBP	feel
ill	RB	ill
now	RB	now
.	SENT	.
When	WRB	when
I	PP	I
avoid	VBP	avoid
it	PP	it
and	CC	and
have	VB	have
other	JJ	other
things	NNS	thing
instead	RB	instead
I	PP	I
feel	VBP	feel
so	RB	so
much	RB	much
more	RBR	more
energetic	JJ	energetic
and	CC	and
clear-headed	JJ	clear-headed
,	,	,
so	RB	so
I	CD	@card@
’m	NN	<unknown>
trying	VBG	try
to	TO	to
stick	VB	stick
with	IN	with
that	DT	that
.	SENT	.
