No	UH	no
,	,	,
like	VB	like
,	,	,
she	PP	she
just	RB	just
never	RB	never
goes	VBZ	go
out	RB	out
or	CC	or
does	VBZ	do
anything	NN	anything
,	,	,
it	PP	it
’s	VBZ	be
ridiculous	JJ	ridiculous
.	SENT	.
I	PP	I
was	VBD	be
saying	VBG	say
to	TO	to
her	PP	her
,	,	,
“	``	"
Come	VB	come
out	RP	out
on	IN	on
Friday	NP	Friday
,	,	,
come	VBN	come
out	RP	out
on	IN	on
Friday	NP	Friday
,	,	,
”	''	"
and	CC	and
she	PP	she
’s	VBZ	be
like	IN	like
,	,	,
“	``	"
No	UH	no
,	,	,
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
.	SENT	.
”	''	"
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
you	PP	you
’re	VBP	be
not	RB	not
doing	VBG	do
anything	NN	anything
else	RB	else
,	,	,
you	PP	you
never	RB	never
do	VBP	do
anything	NN	anything
.	SENT	.
I	PP	I
invited	VBD	invite
her	PP	her
to	TO	to
this	DT	this
whole	JJ	whole
weekend	NN	weekend
thing	NN	thing
,	,	,
like	IN	like
a	DT	a
three‑day	NN	<unknown>
music	NN	music
festival	NN	festival
,	,	,
fireworks	NNS	firework
,	,	,
all	RB	all
of	IN	of
that	DT	that
,	,	,
and	CC	and
she	PP	she
just	RB	just
would	MD	would
n’t	RB	n't
come	VB	come
.	SENT	.
So	RB	so
I	PP	I
did	VBD	do
kind	NN	kind
of	IN	of
snap	NN	snap
at	IN	at
her	PP	her
,	,	,
but	CC	but
in	IN	in
a	DT	a
jokey	JJ	<unknown>
way	NN	way
,	,	,
like	VB	like
,	,	,
“	``	"
Stop	VB	stop
being	VBG	be
so	RB	so
pathetic	JJ	pathetic
,	,	,
just	RB	just
come	VBN	come
out	RP	out
on	IN	on
Friday	NP	Friday
,	,	,
stop	VB	stop
sitting	VBG	sit
in	IN	in
your	PP$	your
room	NN	room
talking	VBG	talk
to	TO	to
your	PP$	your
boyfriend	NN	boyfriend
.	SENT	.
”	''	"
And	CC	and
I	PP	I
said	VBD	say
to	TO	to
her	PP	her
,	,	,
“	``	"
What	WP	what
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
do	VB	do
if	IN	if
you	PP	you
and	CC	and
him	PP	him
break	VBP	break
up	RP	up
?	SENT	?
You	PP	you
’ll	RB	<unknown>
have	VBP	have
no	DT	no
one	CD	one
,	,	,
you	PP	you
do	VBP	do
n’t	RB	n't
have	VB	have
any	DT	any
friends	NNS	friend
.	SENT	.
”	''	"
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
I	PP	I
’m	NN	<unknown>
not	RB	not
saying	VBG	say
it	PP	it
to	TO	to
be	VB	be
horrible	JJ	horrible
,	,	,
but	CC	but
genuinely	RB	genuinely
,	,	,
what	WP	what
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
do	VB	do
if	IN	if
that	DT	that
happens	VBZ	happen
?	SENT	?
