No	UH	no
,	,	,
fifth	JJ	fifth
of	IN	of
January	NP	January
,	,	,
not	RB	not
December	NP	December
.	SENT	.
I	PP	I
just	RB	just
saw	VBD	see
part	NN	part
of	IN	of
the	DT	the
garage	NN	garage
door	NN	door
open	JJ	open
,	,	,
so	RB	so
I	PP	I
called	VBD	call
out	RP	out
,	,	,
“	``	"
Is	VBZ	be
that	IN	that
your	PP$	your
garage	NN	garage
?	SENT	?
”	''	"
and	CC	and
this	DT	this
chap	NN	chap
appeared	VBD	appear
from	IN	from
round	NN	round
the	DT	the
back	NN	back
.	SENT	.
He	PP	he
was	VBD	be
up	RB	up
there	RB	there
fixing	VBG	fix
his	PP$	his
roof	NN	roof
,	,	,
where	WRB	where
the	DT	the
storms	NNS	storm
had	VBD	have
damaged	VBN	damage
it	PP	it
.	SENT	.
I	PP	I
asked	VBD	ask
him	PP	him
if	IN	if
it	PP	it
was	VBD	be
his	PP$	his
garage	NN	garage
and	CC	and
if	IN	if
he	PP	he
had	VBD	have
any	DT	any
jump	NN	jump
leads	VBZ	lead
.	SENT	.
He	PP	he
said	VBD	say
they	PP	they
were	VBD	be
actually	RB	actually
closed	VBN	close
and	CC	and
he	PP	he
did	VBD	do
n’t	RB	n't
have	VB	have
any	DT	any
leads	NNS	lead
,	,	,
but	CC	but
he	PP	he
’d	VBD	have
got	VBN	get
this	DT	this
battery	NN	battery
pack	NN	pack
.	SENT	.
So	RB	so
he	PP	he
brought	VBD	bring
that	IN	that
over	IN	over
for	IN	for
me	PP	me
and	CC	and
jump-started	VBD	jump-start
the	DT	the
car	NN	car
.	SENT	.
It	PP	it
absolutely	RB	absolutely
saved	VBD	save
me	PP	me
,	,	,
really	RB	really
,	,	,
because	IN	because
I	PP	I
’d	MD	will
have	VB	have
been	VBN	be
completely	RB	completely
stuck	VBN	stick
otherwise	RB	otherwise
.	SENT	.
