There	EX	there
was	VBD	be
this	DT	this
big	JJ	big
,	,	,
fat	JJ	fat
American	JJ	American
bloke	NN	bloke
,	,	,
must	MD	must
’ve	VB	have
been	VBN	be
about	RB	about
fifty	CD	fifty
,	,	,
in	IN	in
the	DT	the
audience	NN	audience
,	,	,
and	CC	and
he	PP	he
just	RB	just
kept	VBD	keep
interrupting	VBG	interrupt
the	DT	the
compere	VB	compere
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
Every	DT	every
time	NN	time
the	DT	the
compere	NN	compere
said	VBD	say
something	NN	something
,	,	,
he	PP	he
’d	MD	will
shout	VB	shout
out	RP	out
,	,	,
“	``	"
that	DT	that
’s	VBZ	be
me	PP	me
!	SENT	!
”	''	"
really	RB	really
loudly	RB	loudly
.	SENT	.
At	IN	at
first	JJ	first
everyone	NN	everyone
was	VBD	be
just	RB	just
a	DT	a
bit	NN	bit
confused	VBN	confuse
,	,	,
like	VB	like
,	,	,
what	WP	what
’s	VBZ	have
he	PP	he
on	IN	on
about	RB	about
,	,	,
and	CC	and
people	NNS	people
started	VBD	start
talking	VBG	talk
about	IN	about
him	PP	him
.	SENT	.
In	IN	in
the	DT	the
end	NN	end
the	DT	the
compere	NN	compere
just	RB	just
decided	VBD	decide
he	PP	he
was	VBD	be
a	DT	a
complete	JJ	complete
nutter	NN	nutter
and	CC	and
tried	VBD	try
not	RB	not
to	TO	to
get	VB	get
drawn	VBN	draw
in	IN	in
,	,	,
but	CC	but
the	DT	the
man	NN	man
kept	VBD	keep
standing	VBG	stand
up	RP	up
and	CC	and
coming	VBG	come
out	RP	out
with	IN	with
loads	NNS	load
of	IN	of
stupid	JJ	stupid
things	NNS	thing
.	SENT	.
