what	WP	what
I	PP	I
'll	MD	will
do	VB	do
is	VBZ	be
give	VB	give
her	PP	her
the	DT	the
option	NN	option
of	IN	of
going	VBG	go
to	TO	to
the	DT	the
farm	NN	farm
,	,	,
just	RB	just
in	IN	in
case	NN	case
she	PP	she
has	VBZ	have
changed	VBN	change
her	PP$	her
mind	NN	mind
.	SENT	.
But	CC	but
really	RB	really
I	PP	I
ought	MD	ought
to	TO	to
spend	VB	spend
today	NN	today
chasing	VBG	chase
people	NNS	people
about	IN	about
the	DT	the
Heidelberg	NP	Heidelberg
trip	NN	trip
.	SENT	.
First	RB	first
I	PP	I
need	VBP	need
to	TO	to
phone	VB	phone
the	DT	the
usual	JJ	usual
organiser	NN	organiser
and	CC	and
get	VB	get
the	DT	the
contact	NN	contact
details	NNS	detail
for	IN	for
that	DT	that
Italian	JJ	Italian
woman	NN	woman
–	:	-
her	PP$	her
email	NN	<unknown>
keeps	VBZ	keep
bouncing	VBG	bounce
because	IN	because
her	PP$	her
name	NN	name
’s	VBZ	have
been	VBN	be
misspelt	VBN	misspell
.	SENT	.
Once	RB	once
I	PP	I
’ve	VBP	have
got	VBN	get
that	IN	that
straight	RB	straight
,	,	,
I	PP	I
’ll	RB	<unknown>
email	VBP	<unknown>
her	PP	her
properly	RB	properly
,	,	,
and	CC	and
then	RB	then
this	DT	this
evening	NN	evening
I	PP	I
’ll	RB	<unknown>
ring	VBP	ring
everyone	NN	everyone
to	TO	to
see	VB	see
if	IN	if
they	PP	they
’re	VBP	be
interested	JJ	interested
in	IN	in
coming	VBG	come
.	SENT	.
It	PP	it
’s	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
slog	NN	slog
,	,	,
and	CC	and
I	PP	I
might	MD	might
get	VB	get
a	DT	a
bit	NN	bit
snappy	JJ	snappy
by	IN	by
the	DT	the
end	NN	end
of	IN	of
it	PP	it
.	SENT	.
