so	RB	so
then	RB	then
she	PP	she
asks	VBZ	ask
me	PP	me
in	IN	in
French	JJ	French
,	,	,
like	VB	like
,	,	,
what	WP	what
school	NN	school
does	VBZ	do
he	PP	he
teach	VB	teach
at	IN	at
,	,	,
and	CC	and
I	PP	I
just	RB	just
answered	VBD	answer
in	IN	in
English	NP	English
,	,	,
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
he	PP	he
does	VBZ	do
n’t	RB	n't
teach	VB	teach
in	IN	in
a	DT	a
school	NN	school
.	SENT	.
and	CC	and
she	PP	she
goes	VBZ	go
,	,	,
“	``	"
just	RB	just
make	VB	make
it	PP	it
up	RP	up
,	,	,
”	''	"
and	CC	and
then	RB	then
keeps	VBZ	keep
going	VBG	go
on	IN	on
at	IN	at
me	PP	me
,	,	,
saying	VBG	say
I	PP	I
do	VBP	do
n’t	RB	n't
understand	VB	understand
the	DT	the
question	NN	question
.	SENT	.
and	CC	and
I	PP	I
’m	NN	<unknown>
there	RB	there
like	JJ	like
,	,	,
I	PP	I
do	VBP	do
understand	VB	understand
it	PP	it
,	,	,
that	WDT	that
’s	VBZ	be
why	WRB	why
I	PP	I
said	VBD	say
he	PP	he
does	VBZ	do
n’t	RB	n't
teach	VB	teach
at	IN	at
a	DT	a
school	NN	school
.	SENT	.
she	PP	she
just	RB	just
kept	VBD	keep
criticising	VBG	criticise
me	PP	me
for	IN	for
it	PP	it
,	,	,
acting	VBG	act
like	IN	like
I	PP	I
was	VBD	be
being	VBG	be
stupid	JJ	stupid
,	,	,
when	WRB	when
I	PP	I
actually	RB	actually
got	VBD	get
what	WP	what
she	PP	she
was	VBD	be
asking	VBG	ask
the	DT	the
whole	JJ	whole
time	NN	time
.	SENT	.
