when	WRB	when
I	PP	I
first	RB	first
moved	VBD	move
to	TO	to
Spain	NP	Spain
I	PP	I
did	VBD	do
n’t	RB	n't
speak	VB	speak
a	DT	a
word	NN	word
of	IN	of
Spanish	JJ	Spanish
and	CC	and
they	PP	they
put	VBP	put
me	PP	me
straight	JJ	straight
into	IN	into
teaching	VBG	teach
this	DT	this
little	JJ	little
English	JJ	English
class	NN	class
of	IN	of
six	CD	six
and	CC	and
seven	CD	seven
year	NN	year
olds	NNS	old
.	SENT	.
at	IN	at
the	DT	the
beginning	NN	beginning
they	PP	they
were	VBD	be
actually	RB	actually
really	RB	really
well	RB	well
behaved	VBN	behave
,	,	,
all	RB	all
sat	VBD	sit
there	RB	there
very	RB	very
neatly	RB	neatly
,	,	,
and	CC	and
I	PP	I
thought	VBD	think
oh	UH	oh
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
fine	JJ	fine
.	SENT	.
but	CC	but
then	RB	then
they	PP	they
cottoned	VBN	cotton
on	IN	on
to	TO	to
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
did	VBD	do
n’t	RB	n't
understand	VB	understand
any	DT	any
Spanish	JJ	Spanish
at	IN	at
all	DT	all
,	,	,
and	CC	and
that	WDT	that
was	VBD	be
it	PP	it
,	,	,
they	PP	they
just	RB	just
went	VBD	go
completely	RB	completely
wild	JJ	wild
because	IN	because
they	PP	they
realised	VBD	realise
they	PP	they
could	MD	could
say	VB	say
anything	NN	anything
and	CC	and
I	PP	I
’d	MD	will
have	VB	have
no	DT	no
idea	NN	idea
.	SENT	.
it	PP	it
only	RB	only
settled	VBD	settle
down	RP	down
again	RB	again
once	RB	once
they	PP	they
understood	VBD	understand
that	IN	that
,	,	,
whatever	WDT	whatever
they	PP	they
did	VBD	do
,	,	,
I	PP	I
was	VBD	be
still	RB	still
only	RB	only
going	VBG	go
to	TO	to
respond	VB	respond
in	IN	in
English	NP	English
,	,	,
which	WDT	which
they	PP	they
did	VBD	do
n’t	RB	n't
understand	VB	understand
either	RB	either
.	SENT	.
