yes	UH	yes
it	PP	it
’s	VBZ	be
for	IN	for
someone	NN	someone
who	WP	who
’s	VBZ	be
in	IN	in
the	DT	the
process	NN	process
of	IN	of
being	VBG	be
referred	VBN	refer
,	,	,
that	WDT	that
’s	VBZ	be
right	JJ	right
,	,	,
and	CC	and
I	PP	I
was	VBD	be
just	RB	just
trying	VBG	try
to	TO	to
find	VB	find
out	RP	out
if	IN	if
you	PP	you
actually	RB	actually
do	VBP	do
that	IN	that
particular	JJ	particular
hand	NN	hand
operation	NN	operation
there	RB	there
,	,	,
the	DT	the
Dupuytren	NP	<unknown>
’s	POS	's
,	,	,
Viking	NN	Viking
’s	POS	's
disease	NN	disease
,	,	,
whatever	WDT	whatever
they	PP	they
call	VBP	call
it	PP	it
.	SENT	.
we	PP	we
’re	VBP	be
really	RB	really
just	RB	just
looking	VBG	look
for	IN	for
somewhere	RB	somewhere
that	WDT	that
can	MD	can
do	VB	do
it	PP	it
,	,	,
so	RB	so
I	PP	I
wanted	VBD	want
to	TO	to
know	VB	know
if	IN	if
it	PP	it
would	MD	would
be	VB	be
appropriate	JJ	appropriate
to	TO	to
ask	VB	ask
the	DT	the
GP	NN	GP
to	TO	to
refer	VB	refer
there	RB	there
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
.	SENT	.
right	RB	right
,	,	,
okay	RB	okay
then	RB	then
,	,	,
thanks	NNS	thanks
very	RB	very
much	RB	much
.	SENT	.
do	VB	do
you	PP	you
happen	VB	happen
to	TO	to
have	VB	have
[	SYM	[
NAME]	NP	<unknown>
’s	POS	's
phone	NN	phone
number	NN	number
at	IN	at
all	DT	all
,	,	,
in	IN	in
case	NN	case
we	PP	we
need	VBP	need
it	PP	it
?	SENT	?
