My	PP$	my
next-door	JJ	next-door
neighbour	NN	neighbour
was	VBD	be
vegetarian	JJ	vegetarian
for	IN	for
,	,	,
what	WP	what
,	,	,
ten	CD	ten
,	,	,
fifteen	CD	fifteen
years	NNS	year
,	,	,
and	CC	and
then	RB	then
one	CD	one
barbecue	NN	barbecue
she	PP	she
just	RB	just
suddenly	RB	suddenly
said	VBD	say
she	PP	she
really	RB	really
fancied	VBD	fancy
a	DT	a
sausage	NN	sausage
.	SENT	.
So	RB	so
she	PP	she
had	VBD	have
one	CD	one
,	,	,
just	RB	just
like	IN	like
that	DT	that
,	,	,
and	CC	and
after	IN	after
that	WDT	that
she	PP	she
just	RB	just
carried	VBD	carry
on	IN	on
eating	VBG	eat
meat	NN	meat
again	RB	again
.	SENT	.
Nobody	NN	nobody
said	VBD	say
anything	NN	anything
or	CC	or
made	VBD	make
a	DT	a
fuss	NN	fuss
about	IN	about
it	PP	it
,	,	,
it	PP	it
was	VBD	be
just	RB	just
accepted	VBN	accept
,	,	,
and	CC	and
that	DT	that
was	VBD	be
that	DT	that
.	SENT	.
I	PP	I
remember	VBP	remember
thinking	VBG	think
it	PP	it
was	VBD	be
a	DT	a
bit	NN	bit
strange	RB	strange
how	WRB	how
quickly	RB	quickly
she	PP	she
switched	VBD	switch
back	RB	back
,	,	,
after	IN	after
being	VBG	be
veggie	NN	<unknown>
for	IN	for
so	RB	so
long	JJ	long
,	,	,
but	CC	but
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
it	PP	it
’s	VBZ	be
up	RB	up
to	TO	to
her	PP	her
.	SENT	.
Starting	VBG	start
or	CC	or
stopping	VBG	stop
being	JJ	being
vegetarian	NN	vegetarian
is	VBZ	be
each	DT	each
person	NN	person
’s	POS	's
own	JJ	own
choice	NN	choice
.	SENT	.
