What	WP	what
I	PP	I
’d	MD	will
really	RB	really
like	VB	like
us	PP	us
to	TO	to
work	VB	work
towards	IN	towards
is	VBZ	be
having	VBG	have
a	DT	a
business	NN	business
that	WDT	that
’s	VBZ	have
set	VBN	set
up	RP	up
so	IN	so
we	PP	we
’re	VBP	be
not	RB	not
tied	VBN	tie
to	TO	to
any	DT	any
one	CD	one
place	NN	place
.	SENT	.
I	PP	I
’m	NN	<unknown>
imagining	VBG	imagine
creating	VBG	create
a	DT	a
remote	JJ	remote
team	NN	team
,	,	,
where	WRB	where
everyone	NN	everyone
works	VBZ	work
from	IN	from
wherever	WRB	wherever
they	PP	they
happen	VBP	happen
to	TO	to
be	VB	be
,	,	,
and	CC	and
we	PP	we
do	VBP	do
the	DT	the
same	JJ	same
.	SENT	.
That	DT	that
way	NN	way
,	,	,
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
go	VB	go
and	CC	and
spend	VB	spend
six	CD	six
months	NNS	month
with	IN	with
family	NN	family
,	,	,
or	CC	or
decide	VBP	decide
we	PP	we
’d	MD	will
like	VB	like
to	TO	to
base	VB	base
ourselves	PP	ourselves
in	IN	in
a	DT	a
different	JJ	different
country	NN	country
for	IN	for
a	DT	a
while	NN	while
,	,	,
we	PP	we
can	MD	can
just	RB	just
go	VB	go
and	CC	and
do	VBP	do
that	IN	that
without	IN	without
having	VBG	have
to	TO	to
stop	VB	stop
the	DT	the
work	NN	work
.	SENT	.
The	DT	the
idea	NN	idea
is	VBZ	be
that	IN	that
the	DT	the
structure	NN	structure
of	IN	of
the	DT	the
business	NN	business
,	,	,
and	CC	and
the	DT	the
way	NN	way
the	DT	the
team	NN	team
works	VBZ	work
,	,	,
is	VBZ	be
all	RB	all
designed	VBN	design
around	IN	around
that	DT	that
flexibility	NN	flexibility
from	IN	from
the	DT	the
start	NN	start
.	SENT	.
So	RB	so
we	PP	we
’re	VBP	be
not	RB	not
building	VBG	build
something	NN	something
that	WDT	that
needs	VBZ	need
an	DT	an
office	NN	office
or	CC	or
us	PP	us
physically	RB	physically
being	VBG	be
there	RB	there
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
Instead	RB	instead
,	,	,
it	PP	it
’s	VBZ	be
more	JJR	more
like	IN	like
we	PP	we
’ve	VBP	have
got	VBN	get
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
we	PP	we
trust	VBP	trust
,	,	,
all	RB	all
working	VBG	work
remotely	RB	remotely
,	,	,
and	CC	and
we	PP	we
can	MD	can
move	VB	move
around	RP	around
and	CC	and
live	VB	live
where	WRB	where
we	PP	we
want	VBP	want
while	IN	while
the	DT	the
business	NN	business
keeps	VBZ	keep
running	VBG	run
in	IN	in
the	DT	the
background	NN	background
.	SENT	.
